Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2008-01-02,AMEX (A),0,42202441,1400,42203841,0.0,0.0,0.0,0.0,0,78169,3,78172
2008-01-02,NSX (C),5352085,11489818,25148835,41990738,0.0,0.0,0.0,0.0,32684,29575,116835,179094
2008-01-02,NSX (DC),61334732,16477169,67706809,145518710,0.0,0.0,0.0,0.0,211518,31660,192544,435722
2008-01-02,NYSE (DN),139458100,52456900,157147169,349062169,0.0,0.0,0.0,0.0,895571,184453,823291,1903315
2008-01-02,Nasdaq (DQ),586912460,191403158,450119111,1228434729,0.0,0.0,0.0,0.0,848668,93479,553704,1495851
2008-01-02,ADF (D),51123400,6892600,38668400,96684400,0.0,0.0,0.0,0.0,190759,14637,126217,331613
2008-01-02,ISE (I),52834100,559000,2430600,55823700,0.0,0.0,0.0,0.0,329442,753,8006,338201
2008-01-02,CHX (M),15611493,5435000,8452432,29498925,0.0,0.0,0.0,0.0,22193,1939,9696,33828
2008-01-02,NYSE (N),1421111320,0,0,1421111320,0.0,0.0,0.0,0.0,4844141,0,0,4844141
2008-01-02,NYSE Arca (P),423825100,256488715,339385061,1019698876,0.0,0.0,0.0,0.0,2587870,689558,1558008,4835436
2008-01-02,Nasdaq (Q),671299775,306442852,1055808494,2033551121,0.0,0.0,0.0,0.0,3631714,887902,4381319,8900935
2008-01-02,CBOE (W),2471500,3493300,2244300,8209100,0.0,0.0,0.0,0.0,1806,1829,884,4519
2008-01-02,PHLX (X),3641300,136600,3737607,7515507,0.0,0.0,0.0,0.0,2879,63,3157,6099
2008-01-03,AMEX (A),0,35978413,2300,35980713,0.0,0.0,0.0,0.0,0,68095,3,68098
2008-01-03,NSX (C),4581652,8990200,29822766,43394618,0.0,0.0,0.0,0.0,25731,23809,127526,177066
2008-01-03,NSX (DC),67389460,17602015,79914877,164906352,0.0,0.0,0.0,0.0,233223,32213,251151,516587
2008-01-03,NYSE (DN),129110000,40646200,134463308,304219508,0.0,0.0,0.0,0.0,828805,144594,714611,1688010
2008-01-03,Nasdaq (DQ),657718990,126720998,467926966,1252366954,0.0,0.0,0.0,0.0,892423,86536,551513,1530472
2008-01-03,ADF (D),54947100,6807200,38959500,100713800,0.0,0.0,0.0,0.0,183799,14658,119151,317608
2008-01-03,ISE (I),45474000,495200,2674100,48643300,0.0,0.0,0.0,0.0,285994,581,7458,294033
2008-01-03,CHX (M),22367901,5612300,8611103,36591304,0.0,0.0,0.0,0.0,22788,1628,8595,33011
2008-01-03,NYSE (N),1322824980,0,0,1322824980,0.0,0.0,0.0,0.0,4406086,0,0,4406086
2008-01-03,NYSE Arca (P),424620667,194940876,279628615,899190158,0.0,0.0,0.0,0.0,2493857,524742,1287866,4306465
2008-01-03,Nasdaq (Q),672088983,233716069,975894274,1881699326,0.0,0.0,0.0,0.0,3543931,679789,3990248,8213968
2008-01-03,CBOE (W),2460500,6249800,3118700,11829000,0.0,0.0,0.0,0.0,1942,1265,689,3896
2008-01-03,PHLX (X),5592100,327100,1919075,7838275,0.0,0.0,0.0,0.0,4313,50,2946,7309
2008-01-04,AMEX (A),0,43605486,386400,43991886,0.0,0.0,0.0,0.0,0,84535,163,84698
2008-01-04,NSX (C),5739881,14240338,49060593,69040812,0.0,0.0,0.0,0.0,31326,33362,194586,259274
2008-01-04,NSX (DC),98049444,27035521,93110337,218195302,0.0,0.0,0.0,0.0,335433,52877,279190,667500
2008-01-04,NYSE (DN),161799200,67787400,180041260,409627860,0.0,0.0,0.0,0.0,1024040,222543,932007,2178590
2008-01-04,Nasdaq (DQ),734272620,172105042,551053485,1457431147,0.0,0.0,0.0,0.0,996899,115428,640369,1752696
2008-01-04,ADF (D),59226720,12264300,57749300,129240320,0.0,0.0,0.0,0.0,207969,20548,163269,391786
2008-01-04,ISE (I),62432200,737600,3837300,67007100,0.0,0.0,0.0,0.0,394871,747,11698,407316
2008-01-04,CHX (M),23439500,2941800,8307890,34689190,0.0,0.0,0.0,0.0,28535,1747,11108,41390
2008-01-04,NYSE (N),1647468490,0,0,1647468490,0.0,0.0,0.0,0.0,5357110,0,0,5357110
2008-01-04,NYSE Arca (P),531387750,315164387,388294455,1234846592,0.0,0.0,0.0,0.0,3117892,779464,1608844,5506200
