timestamp,users_holding
"2018-05-10 03:44:01",31348
"2018-05-10 04:44:01",31348
"2018-05-10 05:44:00",31348
"2018-05-10 06:44:00",31348
"2018-05-10 07:44:01",31348
"2018-05-10 08:44:00",31350
"2018-05-10 09:43:59",31350
"2018-05-10 10:44:00",31350
"2018-05-10 11:44:00",31350
"2018-05-10 12:44:00",31350
"2018-05-10 13:44:10",31350
"2018-05-10 14:44:01",31582
"2018-05-10 15:44:01",31668
"2018-05-10 16:44:00",31704
"2018-05-10 17:44:01",31752
"2018-05-10 18:44:00",31771
"2018-05-10 19:44:01",31810
"2018-05-10 20:44:00",31860
"2018-05-10 21:44:00",31864
"2018-05-10 22:44:00",31868
"2018-05-10 23:44:01",31868
"2018-05-11 00:44:00",31868
"2018-05-11 01:44:01",31868
"2018-05-11 02:44:00",31868
"2018-05-11 03:44:00",31868
"2018-05-11 04:44:00",31868
"2018-05-11 05:44:02",31868
"2018-05-11 06:44:00",31868
"2018-05-11 07:44:00",31868
"2018-05-11 08:44:00",31868
"2018-05-11 09:43:59",31870
"2018-05-11 10:44:00",31869
"2018-05-11 11:44:00",31869
"2018-05-11 12:43:59",31869
"2018-05-11 13:44:02",31869
"2018-05-11 14:44:01",32021
"2018-05-11 15:44:01",32064
"2018-05-11 16:44:00",32094
"2018-05-11 17:44:01",32140
"2018-05-11 18:44:00",32129
"2018-05-11 19:44:01",32124
"2018-05-11 20:43:59",32150
"2018-05-11 21:44:00",32150
"2018-05-11 22:44:00",32162
"2018-05-11 23:44:00",32162
"2018-05-12 00:44:01",32162
"2018-05-12 01:44:00",32162
"2018-05-12 02:44:02",32162
"2018-05-12 03:44:01",32162
"2018-05-12 04:44:00",32162
"2018-05-12 05:44:00",32162
"2018-05-12 06:44:01",32162
"2018-05-12 07:44:00",32162
"2018-05-12 08:44:00",32162
"2018-05-12 09:44:00",32162
"2018-05-12 10:44:00",32162
"2018-05-12 11:44:00",32162
"2018-05-12 12:44:00",32162
"2018-05-12 13:44:01",32162
"2018-05-12 14:44:00",32162
