Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2016-12-30,NYSE MKT (A),0,15345457,0,15345457,0.000000,104080060.410700,0.000000,104080060.410700,0,23606,0,23606
2016-12-30,NASDAQ BX (B),73586801,35365488,45415078,154367367,2581741734.262505,1635926246.588799,1633961611.861301,5851629592.712605,722416,173304,422018,1317738
2016-12-30,NSX (C),344361,266169,197563,808093,10834184.320000,14257768.725700,5529341.881800,30621294.927500,2595,1209,1457,5261
2016-12-30,NYSE (DN),65598113,53673951,53239448,172511512,1892493069.930103,1818892189.362306,1749736221.560498,5461121480.852907,172252,90126,125006,387384
2016-12-30,NASDAQ (DQ),797960709,565436866,555090022,1918487597,24274181061.668591,25353826213.623891,19386011959.741733,69014019235.034215,2653642,1077925,1565109,5296676
2016-12-30,EDGA (J),63193984,38181083,34145856,135520923,1968536186.242094,2000205356.892205,1174040993.405602,5142782536.539901,543997,184560,269553,998110
2016-12-30,EDGX (K),140607393,110150676,139849220,390607289,4614775591.854078,5179703203.904596,5217646990.268909,15012125786.027583,1006390,395353,822412,2224155
2016-12-30,CHX (M),8236031,11629107,2987973,22853111,381000554.627800,1107870443.775200,288057601.692500,1776928600.095500,2949,3806,1049,7804
2016-12-30,NYSE (N),803620106,0,0,803620106,30891290901.104357,0.000000,0.000000,30891290901.104357,2233132,0,0,2233132
2016-12-30,NYSE Arca (P),151256428,337619014,113120730,601996172,5741528801.024187,17106492875.705037,5136023509.181294,27984045185.910518,1173195,811815,780183,2765193
2016-12-30,NASDAQ (Q),250760323,126793928,420209800,797764051,9659446048.042486,7528435541.874777,19476248677.386113,36664130267.303376,2256802,486807,2199703,4943312
2016-12-30,IEX (V),37114743,18249684,20690194,76054621,1388507998.332802,1017150319.082399,864436709.519700,3270095026.934901,252732,76863,132421,462016
2016-12-30,NASDAQ PSX (X),15269268,18464875,16272374,50006517,509539668.182400,998952507.778701,599579628.439200,2108071804.400301,120706,88352,103958,313016
2016-12-30,BATS BYX (Y),115195556,71083050,62072842,248351448,3622763750.669321,2728087049.805913,2032352024.416698,8383202824.891932,1074636,318491,556766,1949893
2016-12-30,BATS BZX (Z),148809503,101655037,88407611,338872151,4804085105.660687,6141895795.226076,3812658529.997515,14758639430.884278,1238572,438308,683908,2360788
2016-12-29,NYSE MKT (A),0,12639399,0,12639399,0.000000,66453615.053900,0.000000,66453615.053900,0,25983,0,25983
2016-12-29,NASDAQ BX (B),68885830,30843450,40627600,140356880,2477520251.644595,1196507537.355798,1564483708.682198,5238511497.682591,706229,148250,405337,1259816
2016-12-29,NSX (C),391327,212052,254761,858140,9751032.850000,7695746.366000,5199689.666200,22646468.882200,2525,800,1760,5085
2016-12-29,NYSE (DN),65691127,49061683,50272341,165025151,1919459087.358911,1602726006.331397,1662375883.776499,5184560977.466807,162572,81870,109983,354425
2016-12-29,NASDAQ (DQ),736877316,546161498,469062594,1752101408,21475142003.245859,20425284746.702690,14793171929.371365,56693598679.319914,2594123,995353,1471201,5060677
2016-12-29,EDGA (J),57350446,34033737,26900353,118284536,1697773446.396200,1326752080.795206,861599837.251700,3886125364.443106,498791,164574,225552,888917
2016-12-29,EDGX (K),130797228,95702509,117082541,343582278,4276440298.833099,3523127500.051802,4013564549.552405,11813132348.437306,928455,338281,703004,1969740
2016-12-29,CHX (M),11332167,8444969,2375565,22152701,296493344.628000,665372537.372500,195230707.619500,1157096589.620000,2913,3451,808,7172
2016-12-29,NYSE (N),593220150,0,0,593220150,20937222951.041041,0.000000,0.000000,20937222951.041041,1999215,0,0,1999215
2016-12-29,NYSE Arca (P),140777486,290027384,97638419,528443289,5395590846.841382,12311868261.726980,4225229564.200404,21932688672.768766,1112466,667446,702016,2481928
2016-12-29,NASDAQ (Q),235951054,106108337,306290236,648349627,9223792288.045519,4901277508.913805,13392962659.440032,27518032456.399356,2164201,409791,1901247,4475239
2016-12-29,IEX (V),40152261,16821294,19276442,76249997,1532428915.481104,742826026.210800,763516640.473099,3038771582.165003,255373,71047,126426,452846
2016-12-29,NASDAQ PSX (X),16220765,18822935,12991720,48035420,533920581.475300,817927587.198800,488385449.670000,1840233618.344100,127023,78637,93660,299320
2016-12-29,BATS BYX (Y),103118239,65912496,52880565,221911300,3133291308.123802,2244519473.977200,1659298048.162797,7037108830.263799,960255,274748,489827,1724830
2016-12-29,BATS BZX (Z),137941126,78259183,70699392,286899701,4495618243.599116,3662573963.963394,2824294988.514593,10982487196.077103,1175070,343425,583568,2102063
2016-12-28,NYSE MKT (A),0,11553660,0,11553660,0.000000,58397912.755600,0.000000,58397912.755600,0,24255,0,24255
2016-12-28,NASDAQ BX (B),63645972,24634239,38845740,127125951,2324901834.215205,1049287600.118000,1465439514.685296,4839628949.018501,650027,122648,391583,1164258
2016-12-28,NSX (C),414274,195522,213754,823550,10187918.430000,9163768.870900,5396514.040000,24748201.340900,2743,915,1603,5261
2016-12-28,NYSE (DN),63086618,44755295,54811290,162653203,1880231575.777805,1553150329.321497,2095933405.845199,5529315310.944501,161325,78606,122403,362334
2016-12-28,NASDAQ (DQ),768289385,443038725,484124568,1695452678,22536746353.335392,18783459262.459160,16475289284.529622,57795494900.324174,2578960,882509,1563819,5025288
2016-12-28,EDGA (J),57946304,28713755,29163599,115823658,1807800121.975693,1249672779.092098,974369561.073700,4031842462.141491,511359,137974,245424,894757
2016-12-28,EDGX (K),134768192,80415671,127992938,343176801,4484311562.315087,3568163770.138892,4750104170.782384,12802579503.236363,947614,295617,769819,2013050
2016-12-28,CHX (M),10748207,9196798,6408623,26353628,483764314.180000,825592707.075000,375554803.635000,1684911824.890000,3094,3165,828,7087
2016-12-28,NYSE (N),622763546,0,0,622763546,21954813583.977817,0.000000,0.000000,21954813583.977817,2070816,0,0,2070816
2016-12-28,NYSE Arca (P),144848986,253784537,108741049,507374572,5273157696.522516,12954848735.904420,4879911784.003090,23107918216.430026,1101994,616630,751836,2470460
2016-12-28,NASDAQ (Q),245422267,89871063,312267576,647560906,9494854585.407286,5205120996.539195,14173468403.615561,28873443985.562042,2222108,365314,2030146,4617568
2016-12-28,IEX (V),40477702,14108201,20773966,75359869,1577647819.899800,767696231.094101,905566527.348201,3250910578.342102,248839,56738,135323,440900
2016-12-28,NASDAQ PSX (X),15112190,17301994,13040663,45454847,542238101.494201,835727142.863500,511189840.488400,1889155084.846101,132847,74509,95770,303126
2016-12-28,BATS BYX (Y),103446146,53361665,57518100,214325911,3168586136.070384,1960729918.179900,1906420481.539208,7035736535.789492,962529,234406,537393,1734328
2016-12-28,BATS BZX (Z),131784347,65674334,72759220,270217901,4207190808.002602,3586370594.550002,3069343910.974391,10862905313.526995,1090572,300956,598511,1990039
2016-12-27,NYSE MKT (A),0,10548275,0,10548275,0.000000,48769218.294400,0.000000,48769218.294400,0,19476,0,19476
2016-12-27,NASDAQ BX (B),52467040,18790200,32139630,103396870,1823639391.845988,830592703.000999,1188950079.098802,3843182173.945789,548638,98395,324451,971484
2016-12-27,NSX (C),368098,80671,216487,665256,9081110.550000,4976537.590000,6542631.178000,20600279.318000,2804,425,1748,4977
2016-12-27,NYSE (DN),59995548,37851995,46929889,144777432,1754952315.868806,1283220153.798200,1760476154.273696,4798648623.940702,151953,68324,110016,330293
2016-12-27,NASDAQ (DQ),676058619,393033487,476669595,1545761701,20273652446.268932,16299169750.792634,14983376255.580154,51556198452.641720,2390275,827623,1496810,4714708
2016-12-27,EDGA (J),44271165,21601309,25520410,91392884,1332104239.289899,957899425.950196,833419564.651199,3123423229.891294,404524,108982,206188,719694
2016-12-27,EDGX (K),113394139,63897677,119802051,297093867,3639050869.170107,2710038723.268499,3962150483.337114,10311240075.775720,778874,226486,665849,1671209
2016-12-27,CHX (M),4174604,5039547,2315979,11530130,254708707.326000,433514703.904800,137615147.726700,825838558.957500,2039,2712,905,5656
2016-12-27,NYSE (N),498449368,0,0,498449368,17274252552.010382,0.000000,0.000000,17274252552.010382,1683188,0,0,1683188
2016-12-27,NYSE Arca (P),115977296,213713192,91600202,421290690,4197104794.029010,9981552223.144787,3859883266.877106,18038540284.050903,859605,444298,622452,1926355
2016-12-27,NASDAQ (Q),195158604,70196951,283742932,549098487,7652149499.877620,3785998644.557402,12268438735.210145,23706586879.645167,1783735,272103,1779586,3835424
2016-12-27,IEX (V),32237592,11507889,17576530,61322011,1152192882.261102,549449222.680199,712771208.564000,2414413313.505301,208251,47472,113025,368748
2016-12-27,NASDAQ PSX (X),12316923,13048704,11345571,36711198,397446037.379000,625244151.804201,460072567.814700,1482762756.997901,102308,59812,86801,248921
2016-12-27,BATS BYX (Y),81212609,39306295,46079452,166598356,2465784093.464429,1462046824.374197,1501233289.755597,5429064207.594223,802998,177754,445304,1426056
2016-12-27,BATS BZX (Z),103652155,49855127,65120796,218628078,3356014406.815738,2707690333.126000,2595041497.092696,8658746237.034434,907695,225346,523574,1656615
2016-12-23,NYSE MKT (A),0,10464766,0,10464766,0.000000,48032084.550400,0.000000,48032084.550400,0,21004,0,21004
2016-12-23,NASDAQ BX (B),56205526,18667717,33823283,108696526,2077194699.343794,767889248.480901,1194379736.590300,4039463684.414995,570082,94345,347398,1011825
2016-12-23,NSX (C),309601,198202,221518,729321,9571021.610900,10949531.780000,6270371.619700,26790925.010600,2275,1016,1514,4805
2016-12-23,NYSE (DN),62221652,31973768,41481238,135676658,1942748476.386009,981199243.555898,1373645132.734499,4297592852.676406,155421,57213,99704,312338
2016-12-23,NASDAQ (DQ),658228850,349269101,436256148,1443754099,20073988404.837729,13770024206.878097,12803459194.057445,46647471805.773271,2244902,682558,1309736,4237196
2016-12-23,EDGA (J),48323577,20182386,25403281,93909244,1469423419.625601,830963419.173701,776481753.766099,3076868592.565401,420761,101895,206281,728937
2016-12-23,EDGX (K),111893749,62705719,111135628,285735096,3712634850.484787,2399548259.527600,3406236722.739102,9518419832.751489,785621,217791,642638,1646050
2016-12-23,CHX (M),3776954,15385241,1352755,20514950,146745577.088500,1057224150.730000,116826112.489500,1320795840.308000,2377,2710,779,5866
2016-12-23,NYSE (N),514990304,0,0,514990304,18585971183.905934,0.000000,0.000000,18585971183.905934,1717628,0,0,1717628
2016-12-23,NYSE Arca (P),118636070,183099522,82848269,384583861,4501915798.113107,8403964270.011333,3163124160.583889,16069004228.708329,903573,428604,580000,1912177
2016-12-23,NASDAQ (Q),200504347,66552893,275596069,542653309,7797861735.738800,3418094424.279805,11171804317.972832,22387760477.991437,1793913,252081,1658081,3704075
2016-12-23,IEX (V),33586145,10079736,16829888,60495769,1280592955.938296,421948482.593101,666342485.206700,2368883923.738097,215025,40881,108949,364855
2016-12-23,NASDAQ PSX (X),13591488,13508617,11147367,38247472,427317529.853499,596266176.356000,417596761.001100,1441180467.210599,112474,57046,90016,259536
2016-12-23,BATS BYX (Y),87751727,39040714,46704468,173496909,2700604741.266817,1406337162.224203,1429792131.470500,5536734034.961520,813172,176361,439503,1429036
2016-12-23,BATS BZX (Z),111214465,47465241,62103127,220782833,3613970447.469012,2286586101.973602,2191756264.160401,8092312813.603015,923994,210631,502547,1637172
2016-12-22,NYSE MKT (A),0,12471162,0,12471162,0.000000,75464783.588300,0.000000,75464783.588300,0,23452,0,23452
2016-12-22,NASDAQ BX (B),80727874,24477718,44228994,149434586,2972032083.107571,1075458498.143598,1639120176.455697,5686610757.706866,830477,121268,457913,1409658
2016-12-22,NSX (C),410840,154923,257276,823039,14745811.280000,10349408.310000,8554399.586700,33649619.176700,3308,753,1753,5814
2016-12-22,NYSE (DN),83945516,41295643,55747262,180988421,2684400140.642306,1462385302.639197,1989948576.164305,6136734019.445808,217699,81501,132786,431986
