Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2013-12-31,NYSE MKT (A),0,13523034,4515410,18038444,0.000000,91821778.322000,74767813.075000,166589591.397000,0,24701,17490,42191
2013-12-31,NASDAQ BX (B),66669506,30193881,42725279,139588666,2278451083.384902,1718250887.995303,1648166727.278598,5644868698.658803,546632,119843,334605,1001080
2013-12-31,NSX (C),10573358,7862582,11699865,30135805,281464297.135400,239212644.865000,218103354.194900,738780296.195300,38290,17544,31537,87371
2013-12-31,NYSE (DN),100747311,40391073,70942300,212080684,3152395421.698099,1972821041.650899,2257268485.516500,7382484948.865498,460850,128636,273695,863181
2013-12-31,NASDAQ (DQ),710378546,299867908,498889129,1509135583,21629497939.409281,15737089212.805761,13269427757.273723,50636014909.488765,2863123,700458,1590100,5153681
2013-12-31,EDGA (J),53760086,29358231,32775908,115894225,1558560498.729699,1592989425.782903,925145313.840603,4076695238.353205,418123,127854,231478,777455
2013-12-31,EDGX (K),181531784,66332755,135773807,383638346,6145921715.675720,3378442662.470597,3856275203.822253,13380639581.968570,1024242,219209,648694,1892145
2013-12-31,CHX (M),5903388,5024772,3075584,14003744,236112730.412500,536419064.190000,176595509.432000,949127304.034500,329,1431,510,2270
2013-12-31,NYSE (N),568391403,0,0,568391403,21112730682.741547,0.000000,0.000000,21112730682.741547,1455520,0,0,1455520
2013-12-31,NYSE Arca (P),150623413,160612395,92883824,404119632,5994020873.469405,10326395867.517108,3532982258.600207,19853398999.586720,1183194,414526,625631,2223351
2013-12-31,NASDAQ (Q),252407463,91418770,370318698,714144931,9493799220.048937,6558233763.167092,13491006029.775921,29543039012.991950,1813321,320501,1739200,3873022
2013-12-31,CBSX (W),9292596,4462759,6924727,20680082,249405305.390000,295133949.210000,148107452.530000,692646707.130000,73097,14536,48878,136511
2013-12-31,NASDAQ PSX (X),6056151,7696509,5074702,18827362,175314487.048200,543649222.393400,164242952.790000,883206662.231600,39399,23492,27761,90652
2013-12-31,BATS BYX (Y),46252196,24605868,25921348,96779412,1482104529.412701,1341850355.904602,868920758.633198,3692875643.950501,389027,99130,198546,686703
2013-12-31,BATS BZX (Z),150947266,85365991,101504844,337818101,4817550622.400242,5989516269.917708,3126931582.864838,13933998475.182788,1115041,316716,664205,2095962
2013-12-30,NYSE MKT (A),0,12270918,4542888,16813806,0.000000,70232607.583200,73303949.836000,143536557.419200,0,22228,17465,39693
2013-12-30,NASDAQ BX (B),67295485,23422932,40369498,131087915,2144394828.763992,1142789872.292698,1474077301.367673,4761262002.424363,539463,100462,304912,944837
2013-12-30,NSX (C),12304424,7141055,11451484,30896963,320438810.713000,162878734.758200,211108354.912000,694425900.383200,46330,16240,33474,96044
2013-12-30,NYSE (DN),103712299,34658161,73194517,211564977,3204231384.447411,1550377797.375301,2344724485.490092,7099333667.312804,470632,104030,276174,850836
2013-12-30,NASDAQ (DQ),771588502,255510660,491810573,1518909735,23176769486.577686,13172912567.417872,13267785989.251901,49617468043.247459,3065097,616634,1635113,5316844
2013-12-30,EDGA (J),54192822,24160617,31995259,110348698,1558144031.884101,1170436703.217300,949102452.715602,3677683187.817003,421925,105854,229292,757071
2013-12-30,EDGX (K),183403247,51313623,131580824,366297694,6208827011.114269,2445656870.359405,4028475558.594917,12682959440.068591,1001218,164266,596845,1762329
2013-12-30,CHX (M),19486683,14347826,7682993,41517502,855633973.059800,1076639875.543600,505968731.608100,2438242580.211500,371,985,394,1750
2013-12-30,NYSE (N),462241518,0,0,462241518,16349010920.571620,0.000000,0.000000,16349010920.571620,1436556,0,0,1436556
2013-12-30,NYSE Arca (P),154954586,138114017,100580178,393648781,6093422124.025386,7769244885.249597,3899727447.566468,17762394456.841451,1172994,371135,613002,2157131
2013-12-30,NASDAQ (Q),258724729,71766920,323828967,654320616,9877520752.958764,4871637285.311318,11761660111.042042,26510818149.312124,1935013,276688,1750760,3962461
2013-12-30,CBSX (W),10387352,6620927,6632591,23640870,287338300.080000,459360870.370000,166926548.300000,913625718.750000,81105,11092,48364,140561
2013-12-30,NASDAQ PSX (X),6017304,4721173,4556888,15295365,177111895.343400,301649808.065800,183699277.320100,662460980.729300,36887,16274,26174,79335
2013-12-30,BATS BYX (Y),46016905,19209388,25523629,90749922,1404860619.089100,955198040.310601,835818956.140502,3195877615.540203,380606,82980,188297,651883
2013-12-30,BATS BZX (Z),144136036,65934062,96496765,306566863,4642224954.360107,4210712683.767604,3167472239.044163,12020409877.171874,1071542,257581,636572,1965695
2013-12-27,NYSE MKT (A),0,12031015,4552812,16583827,0.000000,62048638.000700,77159793.832000,139208431.832700,0,20477,17018,37495
2013-12-27,NASDAQ BX (B),61367373,24512697,34037525,119917595,1947267189.651807,1348993574.997999,1388164040.957801,4684424805.607607,510911,101843,273290,886044
2013-12-27,NSX (C),7927602,5665856,7091949,20685407,238537272.892500,159074676.495300,121832185.633800,519444135.021600,37312,14518,24513,76343
2013-12-27,NYSE (DN),88163996,28900358,69970836,187035190,2866490718.188706,1386036483.043797,2146265238.766098,6398792439.998601,423286,92109,247125,762520
2013-12-27,NASDAQ (DQ),647228979,239739187,454531643,1341499809,19768191404.286874,11575112463.430810,12356951820.595340,43700255688.313024,2562138,528383,1410024,4500545
2013-12-27,EDGA (J),49812833,24624800,29836554,104274187,1446690752.250599,1190118980.192300,830479705.824801,3467289438.267700,392719,103528,207584,703831
2013-12-27,EDGX (K),179591101,54744362,141166424,375501887,6197004455.781079,2467642010.466002,4077832892.476384,12742479358.723465,959831,165308,558045,1683184
2013-12-27,CHX (M),4584204,7301665,3524353,15410222,216834991.663500,734868141.241500,308553772.373000,1260256905.278000,236,748,500,1484
2013-12-27,NYSE (N),423713717,0,0,423713717,15073509078.776314,0.000000,0.000000,15073509078.776314,1367804,0,0,1367804
2013-12-27,NYSE Arca (P),151670063,133550291,90089963,375310317,5884863234.569479,8036868341.477505,3823029523.928080,17744761099.975064,1174851,365640,578296,2118787
2013-12-27,NASDAQ (Q),239258276,74198788,295915184,609372248,9102296796.658518,5091532967.572290,10832748951.632998,25026578715.863806,1805531,274394,1641732,3721657
2013-12-27,CBSX (W),8868680,6935121,6480697,22284498,241483530.070000,458286736.170000,193364895.050000,893135161.290000,70379,10653,39062,120094
2013-12-27,NASDAQ PSX (X),6144755,5769012,5113325,17027092,182024207.919800,369340089.083600,180052137.515000,731416434.518400,33889,18647,27627,80163
2013-12-27,BATS BYX (Y),41469210,19838291,24751835,86059336,1256559676.017199,992622362.517000,849795824.086901,3098977862.621100,346407,84469,181730,612606
2013-12-27,BATS BZX (Z),143783688,73040109,95640933,312464730,4543755808.073404,4788670597.594802,3203740576.255012,12536166981.923218,1058910,268932,597765,1925607
2013-12-26,NYSE MKT (A),0,10621147,4962911,15584058,0.000000,66136472.245200,69333062.184000,135469534.429200,0,20352,16066,36418
2013-12-26,NASDAQ BX (B),57785165,20806268,32648241,111239674,1949618331.959198,1112325439.936699,1223908332.066800,4285852103.962697,481339,90930,258108,830377
2013-12-26,NSX (C),8155337,6889785,6563262,21608384,261876235.284400,198065777.260600,113961319.191700,573903331.736700,35512,14610,23070,73192
2013-12-26,NYSE (DN),85920327,27319175,60868185,174107687,3018922347.079811,1305009946.912298,1976998348.871591,6300930642.863700,408303,88173,218288,714764
2013-12-26,NASDAQ (DQ),624203968,231425896,423488083,1279117947,20030047059.052112,11635337706.752101,11948113603.975178,43613498369.779391,2562478,531433,1417660,4511571
2013-12-26,EDGA (J),45639475,22734496,27624354,95998325,1350604125.993203,1237116333.225600,728880169.523200,3316600628.742003,367400,96583,201671,665654
2013-12-26,EDGX (K),173058185,54051134,131346211,358455530,6524899751.756934,2454127320.585996,3988198063.090009,12967225135.432939,936013,161075,545639,1642727
2013-12-26,CHX (M),4017069,6535099,2565648,13117816,178754153.906000,738354695.350000,404895699.880000,1322004549.136000,289,1187,311,1787
2013-12-26,NYSE (N),420512392,0,0,420512392,15444817472.797434,0.000000,0.000000,15444817472.797434,1365274,0,0,1365274
2013-12-26,NYSE Arca (P),145437414,111148789,82335263,338921466,5999406265.860061,7294969480.257517,3332838027.142709,16627213773.260287,1138725,336551,572513,2047789
2013-12-26,NASDAQ (Q),232111301,66499837,289731200,588342338,9123739050.173898,4616096729.415116,10772186049.777985,24512021829.366999,1809875,255958,1618411,3684244
2013-12-26,CBSX (W),8242704,6706810,5322602,20272116,245780452.430000,466812125.420000,134288590.218500,846881168.068500,67315,10470,37551,115336
2013-12-26,NASDAQ PSX (X),4875240,6128064,4139232,15142536,152485475.615000,387594163.905000,149814659.730000,689894299.250000,30724,19405,25015,75144
2013-12-26,BATS BYX (Y),37938381,16698240,22112183,76748804,1245005737.986498,893268267.315097,768058669.387400,2906332674.688995,324764,74320,164397,563481
2013-12-26,BATS BZX (Z),134774312,65634714,87982686,288391712,4486264896.373001,4519562161.127506,2743358886.032019,11749185943.532526,1008222,248387,603789,1860398
2013-12-24,NYSE MKT (A),0,7257982,3403656,10661638,0.000000,35939915.173600,60453571.863000,96393487.036600,0,12584,13018,25602
2013-12-24,NASDAQ BX (B),33644400,12827005,21225211,67696616,1172726354.589998,653149316.089601,832469939.424400,2658345610.103999,280432,57973,160887,499292
2013-12-24,NSX (C),4756537,3226158,4338936,12321631,143897821.343000,80743547.728900,88974546.658600,313615915.730500,22896,8791,15440,47127
2013-12-24,NYSE (DN),56695140,16590555,40997453,114283148,1861248414.814894,811067230.422902,1494748139.571312,4167063784.809108,257329,60298,148091,465718
2013-12-24,NASDAQ (DQ),433816135,159810405,288665088,882291628,13289575857.591348,8469874409.897631,8784025061.805676,30543475329.294655,1630371,364915,910712,2905998
2013-12-24,EDGA (J),30323844,15502410,19859133,65685387,857217301.489600,797984148.361300,551607868.085599,2206809317.936499,234578,68685,132247,435510
2013-12-24,EDGX (K),108027319,30719531,90494563,229241413,3906095691.495494,1254865343.856802,3050873621.399191,8211834656.751487,568465,96471,383535,1048471
2013-12-24,CHX (M),2261512,4060710,1470082,7792304,82044136.860000,407783973.919600,111274695.445000,601102806.224600,188,1099,210,1497
2013-12-24,NYSE (N),272197263,0,0,272197263,9786707133.044774,0.000000,0.000000,9786707133.044774,881552,0,0,881552
2013-12-24,NYSE Arca (P),96736244,93495666,60708931,250940841,3802188655.295009,5838160595.553022,2688365992.453313,12328715243.301344,712940,255168,388071,1356179
2013-12-24,NASDAQ (Q),150397516,47164475,198908263,396470254,5582147069.766488,3194296545.088395,7523164184.154890,16299607799.009773,1068366,179997,1012673,2261036
2013-12-24,CBSX (W),5251942,1833461,3369529,10454932,157993484.660000,144445139.470000,84101906.810000,386540530.940000,42953,6848,25850,75651
2013-12-24,NASDAQ PSX (X),4113732,3934339,3358239,11406310,141360348.250000,238684260.197000,135002473.460000,515047081.907000,24778,13729,18868,57375
2013-12-24,BATS BYX (Y),24426751,11611059,14512339,50550149,765845768.185999,657950621.616400,507434354.401902,1931230744.204301,202911,53183,105187,361281
2013-12-24,BATS BZX (Z),88464232,47541469,57159275,193164976,2754659579.436811,3216187199.137095,1915665393.986299,7886512172.560205,642026,181708,368466,1192200
2013-12-23,NYSE MKT (A),0,11356699,5768499,17125198,0.000000,66883467.775500,99648521.157000,166531988.932500,0,24412,20042,44454
2013-12-23,NASDAQ BX (B),81354052,27414231,49093750,157862033,2769294392.444997,1390156515.137600,1967142622.338120,6126593529.920717,657710,115764,367484,1140958
2013-12-23,NSX (C),9846457,6682380,7953819,24482656,291176910.042200,242909730.535800,185725024.844999,719811665.422999,48184,18399,31106,97689
2013-12-23,NYSE (DN),126936597,34221617,92494896,253653110,4183756352.505487,1708337807.538703,3430333490.085704,9322427650.129894,606018,116646,354982,1077646
2013-12-23,NASDAQ (DQ),913537825,305423830,635127819,1854089474,28676709375.610059,15211293631.108114,19914116322.840546,63802119329.558719,3583082,672694,1965407,6221183
2013-12-23,EDGA (J),63582859,30597213,40654338,134834410,1960196283.574003,1524873650.540102,1197743491.396990,4682813425.511095,507506,129048,280931,917485
2013-12-23,EDGX (K),233332948,66925488,187444045,487702481,8262987005.593836,3236587268.018595,6588193483.725491,18087767757.337922,1284520,205062,822733,2312315
2013-12-23,CHX (M),15423761,10205092,3206249,28835102,724739875.135400,822397588.676400,210706994.155500,1757844457.967300,362,1598,373,2333
2013-12-23,NYSE (N),611174988,0,0,611174988,22706778669.056092,0.000000,0.000000,22706778669.056092,1847128,0,0,1847128
2013-12-23,NYSE Arca (P),200304491,178459006,136057383,514820880,7954741619.542049,11887224495.913859,5814443055.988131,25656409171.444039,1512079,468333,844631,2825043
2013-12-23,NASDAQ (Q),329978775,93029775,441022405,864030955,12878297608.040334,6556342685.308785,17086755488.246178,36521395781.595297,2450049,340453,2182840,4973342
2013-12-23,CBSX (W),10890045,5524008,7489544,23903597,313114341.260000,428605085.970000,190560217.249000,932279644.479000,87944,12991,54209,155144
2013-12-23,NASDAQ PSX (X),8021324,7566961,7029895,22618180,249806996.010000,463528610.274000,247995236.370000,961330842.654000,49169,22690,39434,111293
2013-12-23,BATS BYX (Y),56728738,23110214,33872081,113711033,1800404566.468503,1293002828.351300,1106460623.767192,4199868018.586995,481552,101674,248223,831449
2013-12-23,BATS BZX (Z),193062655,92906441,134862555,420831651,6265236418.803501,6427783496.468404,4345321889.109493,17038341804.381398,1412943,337123,848478,2598544
2013-12-20,NYSE MKT (A),0,57875415,6182524,64057939,0.000000,317198309.767800,93089329.187000,410287638.954800,0,29267,21668,50935
2013-12-20,NASDAQ BX (B),117576671,41622837,71120641,230320149,4080089434.344997,2212650495.403499,2655180547.525909,8947920477.274405,843043,158298,472505,1473846
2013-12-20,NSX (C),14556154,8397914,12297884,35251952,438465145.884000,390518706.511300,279888262.049800,1108872114.445100,67202,21102,43782,132086
2013-12-20,NYSE (DN),159795099,43383663,105217440,308396202,5335422893.604191,2390195395.749501,3225662305.442499,10951280594.796191,762646,144482,426916,1334044
2013-12-20,NASDAQ (DQ),1313126356,431159445,1290521102,3034806903,42790235634.084629,28952479873.234969,39166285944.729758,110909001452.049356,4337292,792211,2408680,7538183
2013-12-20,EDGA (J),93918814,45108932,57588424,196616170,2811432263.879020,2387238371.866595,1668866436.476415,6867537072.222030,677555,169263,372574,1219392
2013-12-20,EDGX (K),272862311,88382702,228193792,589438805,9876812052.945179,5321070994.518703,7016893031.730158,22214776079.194040,1501748,267098,983297,2752143
2013-12-20,CHX (M),14420729,15849711,7391658,37662098,510507037.584000,1231700117.212800,364404557.365600,2106611712.162400,411,2468,883,3762
2013-12-20,NYSE (N),1968170877,0,0,1968170877,76910671012.486835,0.000000,0.000000,76910671012.486835,2335128,0,0,2335128
2013-12-20,NYSE Arca (P),287233608,262876641,193105453,743215702,11294336182.116672,19018082056.220847,7311048199.501912,37623466437.839431,1958204,591455,1098765,3648424
2013-12-20,NASDAQ (Q),473532023,140461748,1274839164,1888832935,18439164467.456359,10843231268.573185,45000004887.161548,74282400623.191092,3257773,479488,2910454,6647715
2013-12-20,CBSX (W),14378482,7103766,8045840,29528088,427988196.110000,619119532.880000,218034772.180000,1265142501.170000,105130,17609,56480,179219
2013-12-20,NASDAQ PSX (X),14997005,10284458,10343103,35624566,459883909.180900,640592176.055000,324307831.395000,1424783916.630900,76804,32728,51740,161272
2013-12-20,BATS BYX (Y),78597500,30372414,44730254,153700168,2622608820.485011,1777883916.365998,1595063961.063590,5995556697.914599,587379,124365,301296,1013040
2013-12-20,BATS BZX (Z),277412790,131499841,197605313,606517944,9096621503.084934,9139794839.806424,6063314382.848908,24299730725.740266,1837147,456784,1148716,3442647
2013-12-19,NYSE MKT (A),0,9832578,7192365,17024943,0.000000,63357162.022900,112408686.082000,175765848.104900,0,21264,21800,43064
2013-12-19,NASDAQ BX (B),98860470,36785041,57676060,193321571,3552838115.789991,1858680945.501801,2166153921.548912,7577672982.840704,781597,141923,422773,1346293
2013-12-19,NSX (C),12366589,7199076,8456599,28022264,402401947.047400,249777836.875300,225329591.221600,877509375.144300,64807,18095,35705,118607
2013-12-19,NYSE (DN),158574109,40357462,91022161,289953732,5479657671.189172,2069956965.173907,3092780266.988629,10642394903.351708,748827,135786,377374,1261987
2013-12-19,NASDAQ (DQ),1129812776,339366050,643486937,2112665763,35716251238.006423,19402217856.899147,19397850382.625086,74516319477.530656,4090142,734365,2006098,6830605
2013-12-19,EDGA (J),85274338,46098732,44505007,175878077,2629209868.290997,2296276985.285894,1309159048.024005,6234645901.600896,653365,178049,308964,1140378
2013-12-19,EDGX (K),263479065,83442300,169720700,516642065,9372056976.023965,4629342452.524290,6169532099.296829,20170931527.845084,1468394,267160,810928,2546482
2013-12-19,CHX (M),6733528,13377530,3637323,23748381,272459287.752500,1195387702.203000,219099570.592500,1686946560.548000,393,4060,898,5351
2013-12-19,NYSE (N),700715264,0,0,700715264,26180619859.256061,0.000000,0.000000,26180619859.256061,2015183,0,0,2015183
2013-12-19,NYSE Arca (P),266052000,227808447,145966889,639827336,10499805510.646569,14516764395.227638,6216938041.652400,31233507947.526607,2009863,575727,926001,3511591
