Date,Amazon_holding
5/2/2018 4:55,72491
5/2/2018 6:40,72491
5/3/2018 0:37,72787
5/3/2018 6:36,72787
5/3/2018 6:51,72787
5/3/2018 7:09,72787
5/3/2018 7:36,72787
5/3/2018 7:45,72787
5/3/2018 11:21,72783
5/3/2018 12:45,72783
5/3/2018 13:45,72783
5/3/2018 14:45,72827
5/3/2018 15:45,72737
5/3/2018 16:45,72860
5/3/2018 17:45,72917
5/3/2018 18:45,72910
5/3/2018 19:45,72867
5/3/2018 20:45,72813
5/3/2018 21:45,72797
5/3/2018 22:45,72788
5/3/2018 23:45,72788
5/4/2018 0:45,72788
5/4/2018 1:45,72788
5/4/2018 2:45,72788
5/4/2018 3:45,72788
5/4/2018 4:45,72788
5/4/2018 5:45,72788
5/4/2018 6:45,72788
5/4/2018 7:45,72788
5/4/2018 8:45,72788
5/4/2018 9:45,72789
5/4/2018 10:45,72789
5/4/2018 11:45,72789
5/4/2018 12:45,72789
5/4/2018 20:49,72126
5/4/2018 20:55,72126
5/4/2018 21:01,72126
5/4/2018 21:07,72103
5/4/2018 21:13,72103
5/4/2018 21:19,72103
5/4/2018 21:25,72103
5/4/2018 21:31,72103
5/4/2018 21:45,72103
5/4/2018 22:45,72090
5/4/2018 23:45,72090
5/5/2018 0:45,72090
5/5/2018 1:45,72090
5/5/2018 2:45,72090
5/5/2018 3:45,72090
5/5/2018 4:45,72090
5/5/2018 5:45,72090
5/5/2018 6:45,72090
5/5/2018 7:45,72090
5/5/2018 8:45,72090
5/5/2018 9:45,72090
5/5/2018 10:45,72090
5/5/2018 11:45,72090
5/5/2018 12:45,72090
5/5/2018 13:45,72090
5/5/2018 14:45,72090
5/5/2018 15:45,72090
5/5/2018 16:45,72089
5/5/2018 17:45,72089
5/5/2018 18:45,72089
5/5/2018 19:45,72089
5/5/2018 20:45,72089
5/5/2018 21:45,72089
5/5/2018 22:45,72089
5/5/2018 23:45,72089
5/6/2018 0:45,72089
5/6/2018 1:45,72089
5/6/2018 2:45,72089
5/6/2018 3:45,72089
5/6/2018 4:45,72089
5/6/2018 5:45,72089
5/6/2018 6:45,72089
5/6/2018 7:45,72089
5/6/2018 8:45,72089
5/6/2018 9:45,72089
5/6/2018 10:45,72089
5/6/2018 11:45,72089
