Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2010-12-31,AMEX (A),0.0,14784281.0,10298847.0,25083128.0,0.0,94137537.531,329039837.085,423177374.616,0,31440,65483,96923
2010-12-31,BEX (B),48010876.0,25294303.0,23681025.0,96986204.0,936495449.419,1053216866.09,506943426.032,2496655741.54,264891,91640,160713,517244
2010-12-31,NSX (C),12864604.0,4609310.0,10833907.0,28307821.0,329715972.799,127246645.706,172976801.113,629939419.617,58331,10775,37833,106939
2010-12-31,NYSE (DN),40571499.0,9627352.0,17781178.0,67980029.0,967545638.365,525969590.143,433218202.943,1926733431.45,193484,25076,91807,310367
2010-12-31,NASDAQ (DQ),568399335.0,234894843.0,360407030.0,1163701208.0,13075754197.8,9714463204.48,7287440315.35,30077657717.7,1513988,359128,811097,2684213
2010-12-31,EDGA (J),92540327.0,23217662.0,37173491.0,152931480.0,2055578283.69,986338382.333,821962823.439,3863879489.46,457187,71353,211488,740028
2010-12-31,EDGX (K),93454854.0,57821761.0,75809282.0,227085897.0,2448282716.66,1917225208.53,1743977550.99,6109485476.18,371417,135876,275277,782570
2010-12-31,CHX (M),9707720.0,4983686.0,2677348.0,17368754.0,269513418.921,394221685.553,102440681.364,766175785.839,1819,1533,1050,4402
2010-12-31,NYSE (N),592433926.0,0.0,0.0,592433926.0,18252327223.5,0.0,0.0,18252327223.5,1487143,0,0,1487143
2010-12-31,NYSE Arca (P),173566004.0,142733459.0,108425833.0,424725296.0,5455105169.09,7458813138.98,3098316986.79,16012235294.9,1010599,370193,605814,1986606
2010-12-31,NASDAQ (Q),203807012.0,113725586.0,298310859.0,615843457.0,6528005534.28,6648079016.56,8255135050.23,21431219601.1,1094053,360554,1071854,2526461
2010-12-31,CBOE (W),3514232.0,2360792.0,990602.0,6865626.0,34958145.86,153025221.222,21227395.92,209210763.002,5423,2795,1931,10149
2010-12-31,PSX (X),11236330.0,6665456.0,4125644.0,22027430.0,232756160.455,347719125.86,111144793.2,691620079.515,61460,18684,23892,104036
2010-12-31,BATS BYX (Y),34517407.0,8239200.0,11376340.0,54132947.0,576279027.66,424940066.315,204709579.525,1205928673.5,131060,21031,54434,206525
2010-12-31,BATS BZX (Z),110360178.0,84472791.0,89723352.0,284556321.0,3200290005.69,4659206373.3,2372454149.02,10231950528.0,694105,303471,535539,1533115
2010-12-30,AMEX (A),0.0,21267074.0,8732032.0,29999106.0,0.0,122765543.636,253899084.618,376664628.253,0,38644,62708,101352
2010-12-30,BEX (B),56013370.0,26239446.0,26233641.0,108486457.0,1220190017.2,1063900414.03,573967416.795,2858057848.02,319978,103018,176323,599319
2010-12-30,NSX (C),12733444.0,5921484.0,12538143.0,31193071.0,352180282.741,86994982.2802,142698658.453,581873923.474,59678,11497,35330,106505
2010-12-30,NYSE (DN),44530970.0,9881792.0,21270613.0,75683375.0,1085819710.11,548377369.922,479439459.199,2113636539.23,233963,33222,119647,386832
2010-12-30,NASDAQ (DQ),636344769.0,264829952.0,391052523.0,1292227244.0,15518174051.1,10160546081.2,6613730588.77,32292450721.1,1671452,376354,835852,2883658
2010-12-30,EDGA (J),94927149.0,24663885.0,38373696.0,157964730.0,2247794235.81,881691916.692,768897668.129,3898383820.63,482474,73880,208968,765322
2010-12-30,EDGX (K),94773377.0,64329504.0,81726935.0,240829816.0,2708639518.95,1853366813.83,1433178718.58,5995185051.36,409193,149937,283313,842443
2010-12-30,CHX (M),10962484.0,5047907.0,4657787.0,20668178.0,331451485.709,386361342.114,189957304.514,907770132.337,2957,1785,969,5711
2010-12-30,NYSE (N),508022071.0,0.0,0.0,508022071.0,15251129352.5,0.0,0.0,15251129352.5,1544691,0,0,1544691
2010-12-30,NYSE Arca (P),222614482.0,143973219.0,127791404.0,494379105.0,7152760782.63,6840972495.14,2960011285.98,16953744563.7,1204167,416769,621964,2242900
2010-12-30,NASDAQ (Q),227922679.0,124868882.0,272415863.0,625207424.0,7406136037.77,6059853808.65,6445581127.46,19911570973.9,1284456,400869,1089378,2774703
2010-12-30,CBOE (W),5161702.0,1975940.0,692566.0,7830208.0,48116513.98,111706725.574,13260697.27,173083936.824,5475,2391,1607,9473
2010-12-30,PSX (X),10966302.0,6856841.0,4116275.0,21939418.0,252629368.265,290969820.86,111123997.245,654723186.37,57246,16921,20978,95145
2010-12-30,BATS BYX (Y),33836096.0,7239120.0,11424880.0,52500096.0,566344297.55,264816499.575,196512422.13,1027673219.25,130520,17535,55435,203490
2010-12-30,BATS BZX (Z),122489605.0,88726870.0,91723340.0,302939815.0,3605943720.45,4392397907.06,2054744993.56,10053086621.1,755383,318743,538035,1612161
2010-12-29,AMEX (A),0.0,20902041.0,8125397.0,29027438.0,0.0,121731453.529,255639648.376,377371101.905,0,43124,56752,99876
2010-12-29,BEX (B),52693432.0,22798283.0,23872885.0,99364600.0,1055050435.98,1010028001.89,486867892.281,2551946330.15,288190,97862,149545,535597
2010-12-29,NSX (C),13590066.0,5975875.0,13636597.0,33202538.0,350717192.95,85860022.7609,131440231.241,568017446.951,54822,12043,31667,98532
2010-12-29,NYSE (DN),43238085.0,5817433.0,20631447.0,69686965.0,1155957851.28,310828347.419,481061757.699,1947847956.4,203974,18800,93018,315792
2010-12-29,NASDAQ (DQ),701564403.0,255228982.0,429215194.0,1386008579.0,17159025495.3,8650022637.01,7497163170.24,33306211302.6,1760962,402081,863626,3026669
2010-12-29,EDGA (J),110646961.0,25112828.0,47191120.0,182950909.0,2596844552.07,1009195623.99,905991486.918,4512031662.98,558915,95456,246196,900567
2010-12-29,EDGX (K),97517661.0,59918930.0,84319065.0,241755656.0,2797271660.8,1598706313.41,1451385290.65,5847363264.86,416440,146347,268978,831765
2010-12-29,CHX (M),12597108.0,7462404.0,5055771.0,25115283.0,353939006.538,655429781.277,187605792.364,1196974580.18,2414,1627,587,4628
2010-12-29,NYSE (N),520103500.0,0.0,0.0,520103500.0,15886544927.8,0.0,0.0,15886544927.8,1487440,0,0,1487440
2010-12-29,NYSE Arca (P),226726028.0,142400576.0,131092975.0,500219579.0,7310890276.1,6605454801.12,3049861033.22,16966206110.4,1209543,404051,624128,2237722
2010-12-29,NASDAQ (Q),237416679.0,111127275.0,264930266.0,613474220.0,7836538121.29,5255369021.91,6576470283.01,19668377426.2,1301986,382907,1046936,2731829
2010-12-29,CBOE (W),3828868.0,1371414.0,837107.0,6037389.0,41543293.73,70312188.05,13786470.9998,125641952.78,6182,1915,2041,10138
2010-12-29,PSX (X),11162456.0,4617288.0,4411537.0,20191281.0,260937022.76,204971848.04,102138607.76,568047478.56,60933,14634,19883,95450
2010-12-29,BATS BYX (Y),32452456.0,5991952.0,12195332.0,50639740.0,569392224.435,234744295.415,192131987.57,996268507.42,132921,16466,55857,205244
2010-12-29,BATS BZX (Z),124674010.0,79255225.0,91242463.0,295171698.0,3580428947.91,4119414402.28,1996598434.41,9696441784.6,742987,307997,501280,1552264
2010-12-28,AMEX (A),0.0,17250516.0,8178696.0,25429212.0,0.0,98602402.2794,243053644.217,341656046.497,0,39506,58393,97899
2010-12-28,BEX (B),53328846.0,24458592.0,22050574.0,99838012.0,1021841498.94,1018312038.11,469899674.567,2510053211.61,271999,96784,139321,508104
2010-12-28,NSX (C),13370980.0,6381269.0,14963909.0,34716158.0,362765109.787,116833758.905,153944563.12,633543431.813,55004,12391,31676,99071
2010-12-28,NYSE (DN),43746692.0,8312275.0,20459978.0,72518945.0,1128458038.92,474253272.612,454678971.98,2057390283.51,204470,26070,93380,323920
2010-12-28,NASDAQ (DQ),715229712.0,228558134.0,418713772.0,1362501618.0,16952465344.3,7731649742.87,7628777732.28,32312892819.5,1749568,376818,833053,2959439
2010-12-28,EDGA (J),109959265.0,24281056.0,44830402.0,179070723.0,2412151750.07,970865423.81,816938331.843,4199955505.72,516894,86794,228487,832175
2010-12-28,EDGX (K),97010717.0,57953165.0,80875344.0,235839226.0,2698910968.41,1898915284.83,1420540241.8,6018366495.04,409036,146711,255434,811181
2010-12-28,CHX (M),17613393.0,4066452.0,1840492.0,23520337.0,345939046.164,318360456.997,55568005.499,719867508.66,2751,2225,663,5639
2010-12-28,NYSE (N),560211797.0,0.0,0.0,560211797.0,16537198069.2,0.0,0.0,16537198069.2,1499185,0,0,1499185
2010-12-28,NYSE Arca (P),229843266.0,138234452.0,132677881.0,500755599.0,7102580874.05,6689657818.51,3085179959.05,16877418651.6,1201375,401844,615228,2218447
2010-12-28,NASDAQ (Q),248086689.0,115815414.0,294309888.0,658211991.0,7697848154.02,5593000988.37,7357994319.6,20648843462.0,1322740,381024,1131250,2835014
