Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2012-12-31,NYSE MKT (A),0,11306985,4606958,15913943,0.000000,80179155.263100,58568822.183100,138747977.446200,0,24654,18988,43642
2012-12-31,NASDAQ BX (B),83942493,40680702,44171312,168794507,2162055745.864997,2324885281.795001,1343379924.161801,5830320951.821799,528961,145300,277731,951992
2012-12-31,NSX (C),9905653,5249149,5865345,21020147,219881456.916800,195289679.312300,126751327.964700,541922464.193800,26319,8790,16616,51725
2012-12-31,NYSE (DN),77974385,21045998,40316439,139336822,2288006691.519582,1269640346.202602,1390736381.421495,4948383419.143679,532981,101739,260230,894950
2012-12-31,NASDAQ (DQ),915479261,414130009,493499167,1823108437,23776502616.042792,22434671705.665893,15384197039.487559,61595371361.196244,2657530,692219,1285002,4634751
2012-12-31,EDGA (J),65183720,46577616,31997982,143759318,1579048116.885699,2659800300.268101,818728339.563499,5057576756.717299,378806,165872,180421,725099
2012-12-31,EDGX (K),228369396,107019628,150184271,485573295,6138065709.601709,5641531855.015998,5215620910.185037,16995218474.802744,968455,295023,578634,1842112
2012-12-31,CHX (M),4144048,9596705,3505091,17245844,124022120.985400,950772458.745900,124729737.439200,1199524317.170500,340,1501,1350,3191
2012-12-31,NYSE (N),731742108,0,0,731742108,23368039590.454715,0.000000,0.000000,23368039590.454715,1923125,0,0,1923125
2012-12-31,NYSE Arca (P),355380470,260782966,170359756,786523192,10764471676.047131,16697921639.885634,6204624974.223187,33667018290.155952,1965428,636341,855500,3457269
2012-12-31,NASDAQ (Q),354963742,204011763,392735739,951711244,11645172076.927525,14440405248.086210,12720779378.936499,38806356703.950234,2234735,619578,1668236,4522549
2012-12-31,CBSX (W),10610696,6037080,5647730,22295506,269105853.780000,319941066.740000,113423104.390000,702470024.910000,76693,11083,38691,126467
2012-12-31,NASDAQ PSX (X),17693360,18702181,15102742,51498283,408152477.270000,1252944195.600000,391780874.505000,2052877547.375000,77959,42721,47169,167849
2012-12-31,BATS BYX (Y),107130639,34908407,48927666,190966712,2781213626.758602,1922982922.200400,1295800705.394100,5999997254.353102,735214,135793,326125,1197132
2012-12-31,BATS BZX (Z),242594993,168981136,152466200,564042329,7287265404.623582,11585171801.854471,4777741285.527309,23650178492.005362,1501242,537661,838209,2877112
2012-12-28,NYSE MKT (A),0,9198589,4439830,13638419,0.000000,60870750.000600,59128053.183000,119998803.183600,0,20260,18830,39090
2012-12-28,NASDAQ BX (B),68811727,28318279,33557150,130687156,1728330441.429999,1568410370.974999,945680417.111800,4242421229.516798,433662,98042,219609,751313
2012-12-28,NSX (C),6685484,3157177,4315991,14158652,147805868.305600,108656658.626900,79937673.316000,336400200.248500,20262,6077,14621,40960
2012-12-28,NYSE (DN),67958726,14955528,30663909,113578163,1978190505.124088,770793445.027602,939640859.345096,3688624809.496786,439993,74625,199798,714416
2012-12-28,NASDAQ (DQ),709102598,276293923,369282954,1354679475,18144216035.442129,14579267870.713631,9693345286.207623,42416829192.363383,2170412,478857,1026129,3675398
2012-12-28,EDGA (J),54698265,31993409,26069827,112761501,1291190361.721899,1668755280.249800,647063480.645600,3607009122.617299,315099,116033,153512,584644
2012-12-28,EDGX (K),167756344,69511603,111990174,349258121,4608702579.465407,3404194730.387197,3236252581.375319,11249149891.227923,768276,194131,434819,1397226
2012-12-28,CHX (M),15330393,5394032,8093366,28817791,388321107.422200,356432464.773000,375502703.537200,1120256275.732400,361,1818,906,3085
2012-12-28,NYSE (N),535491713,0,0,535491713,16433469231.642570,0.000000,0.000000,16433469231.642570,1494221,0,0,1494221
2012-12-28,NYSE Arca (P),257967443,186821289,125607199,570395931,7685536960.583376,11644768564.083392,4383721284.301815,23714026808.968583,1417094,441300,645362,2503756
2012-12-28,NASDAQ (Q),251415142,122215716,269977247,643608105,8140373500.124559,8457433558.962702,8199858723.442808,24797665782.530069,1563183,381397,1207192,3151772
2012-12-28,CBSX (W),10285768,3898863,6955683,21140314,272677873.280000,223647731.400000,126798177.630000,623123782.310000,71378,10132,40380,121890
2012-12-28,NASDAQ PSX (X),12692364,12002176,12012434,36706974,259356672.340000,713684479.840000,276658217.820000,1249699370.000000,53542,25096,35413,114051
2012-12-28,BATS BYX (Y),85967256,23145510,37436084,146548850,2149156664.329999,1228966516.225700,940467825.034500,4318591005.590199,572899,93927,250059,916885
2012-12-28,BATS BZX (Z),183432864,118130751,110551276,412114891,5185932841.036702,7841888270.645924,3303028632.083302,16330849743.765928,1098448,367944,619100,2085492
