Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2019-12-31,NYSE American (A),4395582,16097652,2550895,23044129,164965230.556000,211130821.189500,126088962.997200,502185014.742700,44654,49606,26360,120620
2019-12-31,NASDAQ BX (B),31764877,16493501,17356203,65614581,1079999889.153400,892017187.498700,884266877.273100,2856283953.925200,314949,128111,210422,653482
2019-12-31,NYSE National (C),61757948,23536759,26077694,111372401,1204856108.146500,828534313.953600,637662050.861000,2671052472.961100,533553,114648,262446,910647
2019-12-31,FINRA / Nasdaq TRF Chicago (DB),3524780,1188419,3362382,8075581,83876547.969900,50582272.305100,222347012.187500,356805832.462500,10769,3472,15053,29294
2019-12-31,FINRA / NYSE TRF (DN),275415819,94133968,369619234,739169021,4855927617.143501,3121550519.557901,9351796946.705606,17329275083.407008,637458,225957,756055,1619470
2019-12-31,FINRA / Nasdaq TRF Carteret (DQ),764534784,295753718,581436673,1641725175,25673058627.787701,20117152930.167198,22028599936.789294,67818811494.744193,2815177,789639,1925164,5529980
2019-12-31,EDGA Equities (J),67980579,15982464,40881770,124844813,2507027717.492200,961266545.669100,1613746614.406600,5082040877.567900,800333,95467,449992,1345792
2019-12-31,EDGX Equities (K),149348727,60624196,167754599,377727522,3965206252.746101,3585643119.778597,4543538640.443600,12094388012.968298,1067006,247514,877253,2191773
2019-12-31,NYSE Chicago (M),6413557,5700372,2649879,14763808,274103883.212200,770847647.820000,370061290.657500,1415012821.689700,6094,2452,5650,14196
2019-12-31,NYSE (N),815459390,31682220,32287046,879428656,34534446169.809700,2147932251.283300,1537108278.076100,38219486699.169100,2358168,91495,207402,2657065
2019-12-31,NYSE Arca (P),128107991,186269188,128007052,442384231,4351075825.961699,12376908844.754200,6004906950.184501,22732891620.900400,1115451,491959,1036120,2643530
2019-12-31,NASDAQ (Q),272141552,113820693,589424807,975387052,11004117260.172500,7007119745.476599,28554068276.031301,46565305281.680400,2801236,460856,3343187,6605279
2019-12-31,IEX (V),74027968,13753130,41431238,129212336,2884356345.923100,967282252.603500,1977634256.194900,5829272854.721500,637085,75534,390467,1103086
2019-12-31,NASDAQ PSX (X),12591429,12689564,10084702,35365695,407925612.972300,825556428.583900,633119251.882000,1866601293.438200,101946,51305,81058,234309
2019-12-31,BYX Equities (Y),73685602,37374010,55477533,166537145,2150784826.796800,1949729047.737600,1682202123.604900,5782715998.139300,749326,182962,461707,1393995
2019-12-31,BZX Equities (Z),153616634,62806288,118433301,334856223,6139123811.841200,4202997066.963002,5988190535.994901,16330311414.799103,1386059,251576,1005007,2642642
2019-12-30,NYSE American (A),5239330,16422162,2312783,23974275,195029090.076800,257910862.950600,141098121.032600,594038074.060000,52978,56307,26999,136284
2019-12-30,NASDAQ BX (B),35311644,20353274,18855694,74520612,1125624290.233500,1014224829.069000,1041684676.597800,3181533795.900300,337985,144234,233678,715897
2019-12-30,NYSE National (C),62325541,26913065,23356389,112594995,1139075644.593700,968889599.038200,616980052.896100,2724945296.528000,524648,123229,242428,890305
2019-12-30,FINRA / Nasdaq TRF Chicago (DB),5223789,1263111,3746304,10233204,114104747.586100,60188522.060000,297705550.322100,471998819.968200,14414,4196,18706,37316
2019-12-30,FINRA / NYSE TRF (DN),333854926,99863289,324448975,758167190,5606999748.171201,3606781476.280800,11857218395.394802,21070999619.846803,720215,250036,818926,1789177
2019-12-30,FINRA / Nasdaq TRF Carteret (DQ),849454656,340516048,606069900,1796040604,26286820503.609003,19715455261.628102,27051325698.341596,73053601463.578701,3100265,949229,2145577,6195071
2019-12-30,EDGA Equities (J),73610072,18119547,36681189,128410808,2382086610.538400,993036166.596000,1551729069.048500,4926851846.182900,832685,102238,447744,1382667
2019-12-30,EDGX Equities (K),167330132,61880668,143697037,372907837,3863317745.385701,3535591161.744600,4697596386.483800,12096505293.614101,1083967,250439,876107,2210513
2019-12-30,NYSE Chicago (M),6419965,3512522,4106880,14039367,436341709.584500,368415644.677000,731269221.778400,1536026576.039900,7229,2699,7416,17344
2019-12-30,NYSE (N),690993067,36502046,29120534,756615647,25969132767.444999,2463858356.761400,1439118742.057400,29872109866.263799,2283369,98356,200556,2582281
2019-12-30,NYSE Arca (P),152903552,223257682,130660978,506822212,4594297755.068800,13835728271.010804,6765273076.881894,25195299102.961498,1165200,561404,1091191,2817795
2019-12-30,NASDAQ (Q),306078706,146751029,517041913,969871648,11169197910.722999,8935447223.973998,26567755608.469607,46672400743.166604,2884305,584846,3565483,7034634
2019-12-30,IEX (V),72114937,15880427,42799234,130794598,2797312763.068100,1076170116.067100,2198177900.128400,6071660779.263600,681441,92192,425163,1198796
2019-12-30,NASDAQ PSX (X),13548814,14316022,9629306,37494142,460478935.646500,984354455.417700,668718322.131400,2113551713.195600,105595,60905,81341,247841
2019-12-30,BYX Equities (Y),79918140,45529507,49785445,175233092,2065328176.971600,2179575381.885100,1604385319.687800,5849288878.544500,756369,204968,440212,1401549
2019-12-30,BZX Equities (Z),167396661,65546221,109012770,341955652,6088966937.229699,4271948463.020500,6437072369.507200,16797987769.757399,1406070,273918,1005580,2685568
2019-12-27,NYSE American (A),3580724,15608258,2245368,21434350,123467891.321600,161295983.277900,120333086.659800,405096961.259300,36444,51159,24898,112501
2019-12-27,NASDAQ BX (B),27418214,19489664,15169886,62077764,896313817.877800,893992134.003000,805025156.389100,2595331108.269900,262089,129919,179310,571318
2019-12-27,NYSE National (C),56099898,24581711,21912060,102593669,1007900543.032000,807396450.791500,564799441.264100,2380096435.087600,479022,109826,232466,821314
2019-12-27,FINRA / Nasdaq TRF Chicago (DB),2759969,922868,3070836,6753673,90702871.580000,40023632.094100,304032957.174700,434759460.848800,10254,3100,15619,28973
2019-12-27,FINRA / NYSE TRF (DN),232032490,88064732,285965148,606062370,5028588167.808700,3197898617.657500,12366790135.407392,20593276920.873592,589464,219038,768345,1576847
2019-12-27,FINRA / Nasdaq TRF Carteret (DQ),675291462,268649103,539648500,1483589065,25408544620.318599,17014397409.054397,26203109632.449294,68626051661.822290,2709232,695827,1994728,5399787
2019-12-27,EDGA Equities (J),62963810,17471701,32525884,112961395,2065588196.233900,870174254.334300,1457461357.157200,4393223807.725400,677121,100697,389902,1167720
2019-12-27,EDGX Equities (K),120695477,52566720,129621786,302883983,3449989629.048100,2895101682.538801,4991759847.698599,11336851159.285500,909778,222803,809576,1942157
