Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2014-12-31,NYSE MKT (A),0,17457232,4568370,22025602,0.000000,130281871.205100,127257526.174000,257539397.379100,0,30791,20259,51050
2014-12-31,NASDAQ BX (B),49364942,28431828,26935276,104732046,1548446797.020108,1712809831.529600,940633592.305298,4201890220.855006,392933,131143,210214,734290
2014-12-31,NYSE (DN),81068389,35872334,52807578,169748301,2719553247.672927,1778295103.653393,1981564848.007732,6479413199.334052,342141,104731,191873,638745
2014-12-31,NASDAQ (DQ),753509822,386451457,515361170,1655322449,22913687163.978861,21376901101.742916,16005202282.126461,60295790547.848238,2612841,751628,1496368,4860837
2014-12-31,ADF (D),18940448,14002001,14918475,47860924,468917907.227500,522579823.156500,390155703.897801,1381653434.281801,77901,39852,56566,174319
2014-12-31,EDGA (J),68951828,40754812,38937408,148644048,2168323574.133911,2225300253.423701,1280002270.623494,5673626098.181106,586676,192065,308441,1087182
2014-12-31,EDGX (K),142961996,82833645,116320145,342115786,4433801008.859691,3908681769.832997,3521832637.707412,11864315416.400100,750019,259320,550702,1560041
2014-12-31,CHX (M),5294331,11377743,2041044,18713118,269315182.100000,1496980148.866000,92846801.278400,1859142132.244400,496,1825,493,2814
2014-12-31,NYSE (N),670426322,0,0,670426322,24684340286.189471,0.000000,0.000000,24684340286.189471,1971382,0,0,1971382
2014-12-31,NYSE Arca (P),188001975,234207986,125200261,547410222,7149796782.725002,14936612415.432779,5009909630.651908,27096318828.809689,1392677,671727,873613,2938017
2014-12-31,NASDAQ (Q),340582322,133296340,454800210,928678872,13984326797.553390,9407793824.477165,16750446230.529146,40142566852.559701,2706839,545121,2144849,5396809
2014-12-31,NASDAQ PSX (X),15597968,11337344,9607192,36542504,517396593.354101,713263997.072100,332662758.554200,1563323348.980401,126464,47373,62475,236312
2014-12-31,BATS BYX (Y),94250068,47652914,52619047,194522029,2915737198.419001,2705639256.551701,1676126264.728398,7297502719.699100,785430,235221,407499,1428150
2014-12-31,BATS BZX (Z),180246082,109785618,105242497,395274197,6179356970.040477,7159012841.852309,3841185574.714715,17179555386.607501,1423283,469993,792043,2685319
2014-12-30,NYSE MKT (A),0,15160047,3874606,19034653,0.000000,76085730.032500,95439436.779000,171525166.811500,0,29177,16968,46145
2014-12-30,NASDAQ BX (B),48243722,23589998,23727424,95561144,1597132858.443397,1190250047.433493,903958757.547602,3691341663.424492,445320,107587,214461,767368
2014-12-30,NYSE (DN),84672613,33112464,51615715,169400792,2765380623.574969,1567746906.727799,1845267561.513421,6178395091.816189,343683,95091,187069,625843
2014-12-30,NASDAQ (DQ),746951148,373058228,438810919,1558820295,22541132557.998850,18009559802.921267,13301479898.559963,53852172259.480080,2658094,736724,1414962,4809780
2014-12-30,ADF (D),20818811,10466778,15572062,46857651,432966055.778000,337129505.419301,414733896.128001,1184829457.325302,76761,31134,52843,160738
2014-12-30,EDGA (J),63798010,33719508,32638498,130156016,2014864103.282101,1547242381.672594,1075105850.461198,4637212335.415893,555233,163235,271242,989710
2014-12-30,EDGX (K),138867218,66979235,102065827,307912280,3954777102.126497,2719354769.135095,3122490880.869781,9796622752.131373,711354,217971,483480,1412805
2014-12-30,CHX (M),6688983,5648275,4262171,16599429,247019083.800000,657353679.382100,171420020.042500,1075792783.224600,823,1247,530,2600
2014-12-30,NYSE (N),539086058,0,0,539086058,18242537769.894518,0.000000,0.000000,18242537769.894518,1782108,0,0,1782108
2014-12-30,NYSE Arca (P),190251557,212446612,114791968,517490137,6753217159.467486,12045042992.849697,4467300362.190149,23265560514.507332,1341521,585579,790581,2717681
2014-12-30,NASDAQ (Q),319232882,111703519,335634292,766570693,12313250618.136342,6842720386.445505,12151855997.298041,31307827001.879888,2479268,466834,1844191,4790293
2014-12-30,NASDAQ PSX (X),17740786,9141321,8500365,35382472,567549984.084901,517202668.389900,307681169.984601,1392433822.459402,140901,39391,63570,243862
2014-12-30,BATS BYX (Y),88369715,40825159,46988136,176183010,2649345668.219312,2039983716.985899,1469311605.452295,6158640990.657506,740347,193180,376734,1310261
2014-12-30,BATS BZX (Z),178341155,90939744,93259824,362540723,5846542154.921188,5145560783.599102,3280328816.601537,14272431755.121827,1401885,391764,713670,2507319
2014-12-29,NYSE MKT (A),0,14764566,3859465,18624031,0.000000,73492548.996400,96176767.455000,169669316.451400,0,29511,17186,46697
2014-12-29,NASDAQ BX (B),48760248,24998673,23079239,96838160,1654069670.518894,1319610539.217701,933596936.994504,3907277146.731099,428527,113819,202236,744582
2014-12-29,NYSE (DN),84985051,30879669,52289701,168154421,3036933552.091151,1581251574.417787,1964795090.082721,6582980216.591659,365478,95061,200750,661289
2014-12-29,NASDAQ (DQ),747690525,493740112,423617178,1665047815,23245979326.101342,27500101673.723447,14693066896.711127,65439147896.535916,2716867,707928,1404044,4828839
2014-12-29,ADF (D),18679532,10400990,12701961,41782483,474602641.961500,385924434.001200,380975156.581100,1241502232.543800,76995,29410,48226,154631
2014-12-29,EDGA (J),70354986,34487615,31989964,136832565,2345792611.436905,1678155367.793804,1091941405.682502,5115889384.913211,596979,161232,272075,1030286
2014-12-29,EDGX (K),129348761,72656034,102499615,304504410,4232688209.402331,3356783576.776201,3487410144.823608,11076881931.002140,714398,222010,492623,1429031
2014-12-29,CHX (M),6635596,6922395,2083111,15641102,297382454.105000,773206144.530000,111137844.087700,1181726442.722700,385,1237,279,1901
2014-12-29,NYSE (N),552118723,0,0,552118723,19968166725.465889,0.000000,0.000000,19968166725.465889,1817408,0,0,1817408
2014-12-29,NYSE Arca (P),185544178,197434477,100688549,483667204,6889000896.713648,11191286363.511721,4112711299.918304,22192998560.143673,1359001,539868,746853,2645722
2014-12-29,NASDAQ (Q),320606075,114686748,331309674,766602497,12962291241.919081,7433557003.499098,12961083746.634974,33356931992.053153,2583540,457893,1910418,4951851
2014-12-29,NASDAQ PSX (X),18005738,9711714,8960321,36677773,604396049.343900,567187890.827100,303642372.064399,1475226312.235399,142415,41898,63486,247799
2014-12-29,BATS BYX (Y),91139558,43851429,43957170,178948157,2871751858.922614,2225715025.345198,1442341149.375909,6539808033.643721,767188,193912,355540,1316640
2014-12-29,BATS BZX (Z),182700567,98906360,92875708,374482635,6344556629.189621,6077917708.070092,3379288443.255040,15801762780.514753,1498777,412677,765940,2677394
2014-12-26,NYSE MKT (A),0,12256792,3006880,15263672,0.000000,52228715.637600,102370303.705000,154599019.342600,0,23633,12052,35685
2014-12-26,NASDAQ BX (B),31645883,15141330,17186094,63973307,1130774010.188799,817270049.262800,789474714.991700,2737518774.443299,279404,78693,144862,502959
2014-12-26,NYSE (DN),57303185,20517177,36711295,114531657,1934199858.653711,934712585.526194,1539453702.052511,4408366146.232416,225150,71133,130704,426987
2014-12-26,NASDAQ (DQ),496151725,253810990,297724101,1047686816,15043665703.653652,12958479166.271855,9866814946.045426,37868959815.970933,1841429,518362,1021230,3381021
2014-12-26,ADF (D),13596824,9422448,9947093,32966365,337843049.844300,263940212.052000,328225284.269300,930008546.165600,54667,23402,38605,116674
2014-12-26,EDGA (J),46214029,21534587,22998000,90746616,1552716731.566501,1040216513.718401,813073697.068100,3406006942.353002,403043,107905,192441,703389
2014-12-26,EDGX (K),93506845,53859542,79169705,226536092,3000517393.309407,2212631378.339003,2980950846.717687,8194099618.366097,492491,159162,366749,1018402
2014-12-26,CHX (M),4955491,8643702,1353404,14952597,288647301.210600,649984565.965000,89733344.840000,1028365212.015600,283,814,227,1324
2014-12-26,NYSE (N),446628321,0,0,446628321,16684561928.083151,0.000000,0.000000,16684561928.083151,1427221,0,0,1427221
2014-12-26,NYSE Arca (P),133280463,152439560,79272203,364992226,5166951221.091892,9303742527.053731,3543360661.733400,18014054409.879023,1031371,423017,586321,2040709
2014-12-26,NASDAQ (Q),214211723,71741828,278625217,564578768,8730935781.529362,4561485322.030705,11609967238.583251,24902388342.143318,1739408,312568,1426272,3478248
2014-12-26,NASDAQ PSX (X),11275343,7046789,6223636,24545768,382115261.610000,377379902.313700,249495891.960000,1008991055.883700,90384,30986,44562,165932
2014-12-26,BATS BYX (Y),61171522,25663344,31753774,118588640,1984462798.586102,1333025406.997000,1110510668.917001,4427998874.500103,531025,135936,252855,919816
2014-12-26,BATS BZX (Z),125643793,61369394,67570105,254583292,4410324388.185306,3800013197.142909,2621840816.562154,10832178401.890369,1015575,277811,529291,1822677
2014-12-24,NYSE MKT (A),0,8055735,2639165,10694900,0.000000,45688357.743800,69145369.792200,114833727.536000,0,17325,12289,29614
2014-12-24,NASDAQ BX (B),23648770,12677862,12981400,49308032,871693474.214996,709514993.087200,553407618.579101,2134616085.881297,207938,66366,109084,383388
2014-12-24,NYSE (DN),43488048,16094251,27308440,86890739,1617190669.117609,747995153.130901,1102294488.991305,3467480311.239815,176167,52746,102018,330931
2014-12-24,NASDAQ (DQ),429200611,192308013,249225030,870733654,13983344986.919898,8678304553.656124,8699665273.616166,31361314814.192188,1491036,404159,810393,2705588
2014-12-24,ADF (D),12133771,5282128,8718058,26133957,306296898.359100,165222471.476400,257760168.386202,729279538.221702,47885,15818,32370,96073
2014-12-24,EDGA (J),37267710,18333695,18997282,74598687,1197139315.193400,942451300.677200,635604591.254302,2775195207.124902,318996,93835,157935,570766
2014-12-24,EDGX (K),77005016,39187549,60033924,176226489,2575099116.965192,1900816981.542505,2108318104.987801,6584234203.495498,424505,126464,287182,838151
2014-12-24,CHX (M),4047282,5599450,1405247,11051979,145117908.450000,505896362.140000,110778262.150000,761792532.740000,573,1002,691,2266
2014-12-24,NYSE (N),349388332,0,0,349388332,13139526276.192085,0.000000,0.000000,13139526276.192085,1164185,0,0,1164185
2014-12-24,NYSE Arca (P),109814883,130911635,65131935,305858453,4227019492.239314,7569124213.502627,2801588500.518718,14597732206.260659,822753,337622,476591,1636966
2014-12-24,NASDAQ (Q),177482832,60582406,204797170,442862408,7224335012.012919,4029382146.991419,8355518194.795605,19609235353.799943,1450802,268946,1157067,2876815
2014-12-24,NASDAQ PSX (X),8623211,4749177,5396848,18769236,286179300.729400,262028969.389300,186944202.600000,735152472.718700,68495,21055,33876,123426
2014-12-24,BATS BYX (Y),41744296,19711842,22761692,84217830,1375601943.066101,1069216159.487700,706617879.388194,3151435981.941995,360431,100503,181458,642392
2014-12-24,BATS BZX (Z),103169432,49890931,50955715,204016078,3577630434.701886,3042555923.275602,1846504166.853084,8466690524.830572,848706,227166,409192,1485064
2014-12-23,NYSE MKT (A),0,15642626,6943972,22586598,0.000000,146264522.470100,211046556.560600,357311079.030700,0,33716,26964,60680
