,,,,,,,,,,,,,,,,,
Date,Google,Date,FB,Date,Apple,Date,Amazon,Date,Costco,Date,Walmart,Date,American_airline,Date,McDonald,Date,Wells_Fargo
2/5/2010 16:00,3157048,6/21/2012 16:00,21875228,2/5/2010 16:00,30368050,2/5/2010 16:00,11027086,2/5/2010 16:00,4793748,2/5/2010 16:00,15546378,2/5/2010 16:00,15245740,2/5/2010 16:00,14010935,2/5/2010 16:00,68478904
2/8/2010 16:00,2695412,6/22/2012 16:00,74833976,2/8/2010 16:00,17081016,2/8/2010 16:00,9898391,2/8/2010 16:00,3319738,2/8/2010 16:00,10506063,2/8/2010 16:00,7212096,2/8/2010 16:00,6976828,2/8/2010 16:00,43429860
2/9/2010 16:00,2828685,6/25/2012 16:00,24352818,2/9/2010 16:00,22603004,2/9/2010 16:00,9227158,2/9/2010 16:00,3486817,2/9/2010 16:00,10825120,2/9/2010 16:00,30914204,2/9/2010 16:00,10131419,2/9/2010 16:00,46845236
2/10/2010 16:00,2675794,6/26/2012 16:00,24858612,2/10/2010 16:00,13227174,2/10/2010 16:00,6236250,2/10/2010 16:00,4520414,2/10/2010 16:00,9408393,2/10/2010 16:00,21563564,2/10/2010 16:00,6161389,2/10/2010 16:00,42107504
2/11/2010 16:00,2411090,6/27/2012 16:00,28599506,2/11/2010 16:00,19655128,2/11/2010 16:00,8344469,2/11/2010 16:00,4030760,2/11/2010 16:00,11579594,2/11/2010 16:00,11277683,2/11/2010 16:00,7478989,2/11/2010 16:00,35823916
2/12/2010 16:00,2280371,6/28/2012 16:00,17713292,2/12/2010 16:00,23409558,2/12/2010 16:00,8075533,2/12/2010 16:00,4337558,2/12/2010 16:00,17038868,2/12/2010 16:00,17757308,2/12/2010 16:00,6750002,2/12/2010 16:00,45333540
2/16/2010 16:00,3654824,6/29/2012 16:00,19526824,2/16/2010 16:00,19426824,2/16/2010 16:00,8938494,2/16/2010 16:00,4052524,2/16/2010 16:00,15771181,2/16/2010 16:00,13589126,2/16/2010 16:00,7090121,2/16/2010 16:00,36097488
2/17/2010 16:00,2030680,7/2/2012 16:00,14131476,2/17/2010 16:00,15585530,2/17/2010 16:00,8947449,2/17/2010 16:00,2663023,2/17/2010 16:00,15534113,2/17/2010 16:00,9065907,2/17/2010 16:00,5424589,2/17/2010 16:00,50109616
2/18/2010 16:00,2339250,7/3/2012 16:00,8765498,2/18/2010 16:00,15100873,2/18/2010 16:00,9807497,2/18/2010 16:00,2275330,2/18/2010 16:00,29458040,2/18/2010 16:00,7360612,2/18/2010 16:00,4976220,2/18/2010 16:00,30287816
2/19/2010 16:00,2555348,7/5/2012 16:00,10036688,2/19/2010 16:00,14847638,2/19/2010 16:00,7117494,2/19/2010 16:00,2510091,2/19/2010 16:00,15090572,2/19/2010 16:00,6522225,2/19/2010 16:00,5622582,2/19/2010 16:00,32175178
2/22/2010 16:00,2144741,7/6/2012 16:00,10949006,2/22/2010 16:00,13958024,2/22/2010 16:00,6809386,2/22/2010 16:00,3004294,2/22/2010 16:00,12097112,2/22/2010 16:00,8049919,2/22/2010 16:00,4274900,2/22/2010 16:00,41853380
2/23/2010 16:00,2874790,7/9/2012 16:00,17785180,2/23/2010 16:00,20546888,2/23/2010 16:00,7069011,2/23/2010 16:00,3081114,2/23/2010 16:00,14138110,2/23/2010 16:00,9119385,2/23/2010 16:00,7485645,2/23/2010 16:00,38757764
2/24/2010 16:00,2326901,7/10/2012 16:00,14276996,2/24/2010 16:00,16448768,2/24/2010 16:00,7393039,2/24/2010 16:00,2908141,2/24/2010 16:00,10624152,2/24/2010 16:00,5791046,2/24/2010 16:00,7579688,2/24/2010 16:00,35785068
