Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2017-12-29,NYSE American (A),2428538,16820591,1988839,21237968,93578910.080000,196063856.861000,95730836.907000,385373603.848000,24448,45308,20309,90065
2017-12-29,NASDAQ BX (B),90077661,30601168,55435859,176114688,3345472768.728700,1563501394.050300,2090602356.376600,6999576519.155600,944343,149075,567170,1660588
2017-12-29,NYSE (DN),63371650,32210451,59930835,155512936,1787663198.571300,1149980932.074600,1740529324.954600,4678173455.600500,169131,84977,185251,439359
2017-12-29,NASDAQ (DQ),793832069,407766687,587618201,1789216957,26356600215.736104,24959576982.530488,23542134016.948597,74858311215.215189,2916551,816401,1893124,5626076
2017-12-29,EDGA Equities (J),29672298,18834557,16555141,65061996,1018392137.369900,1240313473.654300,756128107.267000,3014833718.291200,249923,83162,136755,469840
2017-12-29,EDGX Equities (K),121571218,62240050,125025114,308836382,4433915262.488001,3519199834.438501,4850239668.685200,12803354765.611702,774162,230693,696101,1700956
2017-12-29,CHX (M),6796455,8091649,3548597,18436701,375282144.818400,1608126863.792700,613315841.348000,2596724849.959100,1806,3412,1331,6549
2017-12-29,NYSE (N),710203862,0,0,710203862,30400842083.864202,0.000000,0.000000,30400842083.864202,1818038,0,0,1818038
2017-12-29,NYSE Arca (P),120699045,216278915,101801383,438779343,5071955274.342900,14098675257.258806,4945129085.675400,24115759617.277106,899588,558368,737138,2195094
2017-12-29,NASDAQ (Q),196422077,103622236,453877686,753921999,8681275922.039299,7685032674.001702,23928313140.018106,40294621736.059107,1771210,383457,2225533,4380200
2017-12-29,IEX (V),51761931,15318105,25518479,92598515,2088033482.652600,892029781.952800,1334158141.536500,4314221406.141900,356177,64172,183012,603361
2017-12-29,NASDAQ PSX (X),8879748,11542648,9376489,29798885,350033441.155500,890423996.484800,562122384.410100,1802579822.050400,79893,46731,81147,207771
2017-12-29,BYX Equities (Y),133362096,59647562,66611536,259621194,3939155324.365700,2829187118.337101,2392327233.492000,9160669676.194801,1106487,254435,590106,1951028
2017-12-29,BZX Equities (Z),118685979,72250240,68011335,258947554,4077538932.371600,4827163455.784200,3302164214.616301,12206866602.772101,952752,285968,562523,1801243
2017-12-28,NYSE American (A),2512987,15123597,1858237,19494821,93925759.149400,122437389.458700,95919133.721300,312282282.329400,23438,41012,18957,83407
2017-12-28,NASDAQ BX (B),85742892,25987701,46961901,158692494,3357568081.186700,1261525257.463000,1910594229.563300,6529687568.213000,930932,129871,502425,1563228
2017-12-28,NYSE (DN),56878846,28302305,56278624,141459775,1680124442.696200,813257860.789800,1579519579.934900,4072901883.420900,151780,76048,180649,408477
2017-12-28,NASDAQ (DQ),775964145,342432029,534293916,1652690090,27321994634.079705,18772595552.277504,21900954994.712005,67995545181.069214,2809844,837542,1810360,5457746
2017-12-28,EDGA Equities (J),24965756,14049788,13857203,52872747,882277704.400000,818459014.252900,619152183.521800,2319888902.174700,224156,63416,118083,405655
