Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2020-12-31,NYSE American (A),7942760,32637694,8211191,48791645,291481270.912000,472669349.974800,313028029.202100,1077178650.088900,99340,108300,74231,281871
2020-12-31,NASDAQ BX (B),20372161,14992090,22263197,57627448,867292551.313600,1010804721.092800,1231439083.724800,3109536356.131200,266748,72299,251786,590833
2020-12-31,NYSE National (C),34789501,19707020,21967439,76463960,864379700.472000,851070169.607600,683698643.954800,2399148514.034400,337180,95748,214529,647457
2020-12-31,FINRA / Nasdaq TRF Chicago (DB),7589086,4952113,13179561,25720760,327049139.330000,87415794.050800,755854444.945600,1170319378.326400,41076,10226,62814,114116
2020-12-31,FINRA / NYSE TRF (DN),265312516,142605189,702216832,1110134537,9414044948.885098,3749030410.346800,19799952694.511401,32963028053.743299,1134116,304568,1717168,3155852
2020-12-31,FINRA / Nasdaq TRF Carteret (DQ),984003880,509524463,1708557345,3202085688,40023097261.043196,31453999320.824507,61319643151.904143,132796739733.771846,5000190,1455730,5870868,12326788
2020-12-31,MIAX Pearl (H),2508227,2132599,5625295,10266121,135998499.485200,109622189.815400,229048835.937700,474669525.238300,25162,10326,32625,68113
2020-12-31,EDGA Equities (J),46810419,29802305,49186568,125799292,2156958466.330300,1738126247.881800,2409613473.517800,6304698187.729900,614307,198172,549405,1361884
2020-12-31,EDGX Equities (K),227011307,99591352,390077554,716680213,8370719134.157601,5575347815.736700,12368505674.993500,26314572624.887801,1735416,427103,1948093,4110612
2020-12-31,LTSE (L),500,100,13851,14451,1080.000000,2228.000000,45359.650000,48667.650000,1,1,47,49
2020-12-31,NYSE Chicago (M),8696621,7326515,6160363,22183499,489850748.719200,1216980651.558000,1302786265.966500,3009617666.243700,8202,3189,8186,19577
2020-12-31,NYSE (N),806636339,39268538,61004990,906909867,39190088085.213602,2526388762.858300,2739222635.972100,44455699484.044002,2700924,119885,385930,3206739
2020-12-31,NYSE Arca (P),169383241,239828629,427010066,836221936,7159801430.777404,15533990891.587699,14816564296.557208,37510356618.922311,1562906,831473,2405738,4800117
2020-12-31,NASDAQ (Q),291693455,136615765,1041846154,1470155374,13295265024.684894,9855388437.600402,52953648127.560604,76104301589.845900,3238070,692498,5759676,9690244
2020-12-31,Members Exchange (U),22649386,15984185,40542951,79176522,606967685.215000,399229393.976700,772340319.228000,1778537398.419700,232223,46194,286952,565369
2020-12-31,Investors Exchange (V),80691065,16793533,68617014,166101612,4560445168.606100,1244153995.186200,4834052648.295301,10638651812.087601,998085,111238,770050,1879373
2020-12-31,NASDAQ PSX (X),20325006,18405337,20258402,58988745,682731008.810400,1314933263.508700,1210926182.341300,3208590454.660400,140460,87455,156440,384355
2020-12-31,BYX Equities (Y),49019019,32557421,52292579,133869019,1843067951.208800,2019061995.003600,1901338029.217900,5763467975.430300,568881,151657,509601,1230139
2020-12-31,BZX Equities (Z),133606243,104727342,176810103,415143688,5581461560.368300,7339917040.840400,9174720190.990299,22096098792.198999,1423874,482295,1440952,3347121
2020-12-30,NYSE American (A),7342491,26653343,5859539,39855373,266119757.019500,340684157.602900,275797208.631800,882601123.254200,114462,96701,82108,293271
2020-12-30,NASDAQ BX (B),22516344,15245403,29174090,66935837,943537665.351400,835903491.675000,1260394007.328800,3039835164.355200,280378,65711,263711,609800
2020-12-30,NYSE National (C),34864306,17349599,26634220,78848125,817547183.780000,663323482.098900,648756133.533400,2129626799.412300,333835,81638,224477,639950
2020-12-30,FINRA / Nasdaq TRF Chicago (DB),8309948,2895899,19665799,30871646,401267436.054600,75291371.989100,781474505.476200,1258033313.519900,46541,10026,74731,131298
2020-12-30,FINRA / NYSE TRF (DN),270917245,141113272,863245097,1275275614,10309105486.174099,4702094331.398298,19193107158.942595,34204306976.514992,1127471,296720,1794843,3219034
2020-12-30,FINRA / Nasdaq TRF Carteret (DQ),1031349884,438451415,2042338846,3512140145,44447153053.750623,22403133975.007197,62126289094.123719,128976576122.881539,4995516,1253006,6130287,12378809
2020-12-30,MIAX Pearl (H),2165772,1898378,6903240,10967390,129420903.266800,77127453.803500,325415270.427100,531963627.497400,30584,8040,41422,80046
2020-12-30,EDGA Equities (J),49979486,26908407,46831891,123719784,2365240736.915200,1427572308.594700,2355114902.575099,6147927948.084999,651836,178914,554091,1384841
2020-12-30,EDGX Equities (K),232131203,83814514,403868771,719814488,8764056379.963701,4181785511.420600,12166189586.494196,25112031477.878497,1758432,367641,2048776,4174849
2020-12-30,NYSE Chicago (M),9690011,8290294,6524353,24504658,698964763.100000,1357841600.403500,2171521673.068001,4228328036.571501,8395,2589,8961,19945
2020-12-30,NYSE (N),691055272,32731348,72269108,796055728,32898057589.950402,1849596049.695200,2576789126.220200,37324442765.865802,2720098,99842,428312,3248252
2020-12-30,NYSE Arca (P),177157784,207929947,433426053,818513784,7655287480.583000,12575512482.406296,14561197208.706594,34791997171.695890,1652084,734820,2503970,4890874
2020-12-30,NASDAQ (Q),301227611,115062364,999171208,1415461183,13749489903.269599,7603115566.913700,47160524616.681618,68513130086.864917,3304228,596508,5928398,9829134
2020-12-30,Members Exchange (U),24157005,12587324,48895699,85640028,612838952.042600,325776166.786900,758152527.453800,1696767646.283300,238251,40768,306424,585443
2020-12-30,Investors Exchange (V),82329989,12835959,72085249,167251197,4646638320.864800,788478705.507200,5475995165.705597,10911112192.077597,878615,79453,738980,1697048
2020-12-30,NASDAQ PSX (X),21629214,15949191,21442464,59020869,644772064.062800,960933279.699800,1087253322.204600,2692958665.967200,148862,67197,160686,376745
2020-12-30,BYX Equities (Y),51750685,29771626,64116035,145638346,1826940888.458400,1600147390.764600,1829948606.123600,5257036885.346600,570009,136728,508129,1214866
2020-12-30,BZX Equities (Z),136281126,81238309,180565563,398084998,5687050192.803800,5448058210.633200,8519035300.854303,19654143704.291303,1452992,417179,1462495,3332666
2020-12-29,NYSE American (A),8030483,32904686,7096691,48031860,300789909.138500,416488141.206100,344834269.305500,1062112319.650100,114781,113135,90882,318798
2020-12-29,NASDAQ BX (B),20986461,14717329,21939846,57643636,938636617.680900,985563420.470100,1307195322.844700,3231395360.995700,272980,74046,273708,620734
2020-12-29,NYSE National (C),37208317,18112305,22816782,78137404,955227526.066500,679446840.096700,743076210.739000,2377750576.902200,353709,85928,234460,674097
2020-12-29,FINRA / Nasdaq TRF Chicago (DB),9614722,3718906,18072854,31406482,535405668.799700,115776752.140900,782633954.598700,1433816375.539300,58861,12778,79958,151597
2020-12-29,FINRA / NYSE TRF (DN),290106946,154100070,671869170,1116076186,12108537277.841500,4735393490.496997,18524428253.153803,35368359021.492300,1256585,375611,1793009,3425205
2020-12-29,FINRA / Nasdaq TRF Carteret (DQ),1111752869,506180462,1756585052,3374518383,49766265250.379921,27327292581.178794,63934204274.656177,141027762106.214892,5601444,1539429,6349445,13490318
2020-12-29,MIAX Pearl (H),2271421,1732521,4251068,8255010,154115298.174400,92038687.725900,143823585.079500,389977570.979800,32675,8536,35574,76785
2020-12-29,EDGA Equities (J),53330265,33344856,49826322,136501443,2482298971.014600,1801464380.522300,2455521605.622300,6739284957.159200,687928,224255,595626,1507809
2020-12-29,EDGX Equities (K),249345884,105525832,366366166,721237882,9986178877.595702,5395600549.631601,12263190243.255694,27644969670.482997,1964960,494188,2103252,4562400
2020-12-29,LTSE (L),41,100,2000,2141,40596.640000,699.000000,10300.000000,51595.640000,3,1,5,9
2020-12-29,NYSE Chicago (M),9071191,10917177,11157099,31145467,628266661.396000,1281996335.573800,1784777238.421400,3695040235.391200,8671,4075,8239,20985
2020-12-29,NYSE (N),724295351,43210342,73356294,840861987,33472939975.336401,2278722157.022600,2998225543.372500,38749887675.731501,3037966,124914,460924,3623804
2020-12-29,NYSE Arca (P),196049179,237317884,403238390,836605453,8988483835.878705,14733538653.672907,15973595081.808296,39695617571.359908,1891331,942831,2727379,5561541
2020-12-29,NASDAQ (Q),339568594,152374648,955350691,1447293933,16137481008.979396,9901953428.671799,49005993176.072297,75045427613.723492,3819314,857035,6613457,11289806
2020-12-29,Members Exchange (U),23975010,15043166,36442444,75460620,640230924.381400,397418466.716600,749796327.299400,1787445718.397400,257464,49834,304398,611696
2020-12-29,Investors Exchange (V),93069909,14444476,77126043,184640428,5640984150.413599,1003388602.849600,6055960439.734700,12700333192.997899,985394,92267,817852,1895513
2020-12-29,NASDAQ PSX (X),22766172,16946911,21115674,60828757,645188162.410000,1055783951.170599,1341167018.395100,3042139131.975699,155825,68389,184077,408291
2020-12-29,BYX Equities (Y),53878360,36689478,61015525,151583363,1919958970.383400,2134551993.399000,1913745203.159100,5968256166.941500,584916,159098,514366,1258380
2020-12-29,BZX Equities (Z),147970281,100412918,169296016,417679215,6242595400.704101,7017832147.096997,9126624033.948202,22387051581.749300,1612816,583624,1573107,3769547
2020-12-28,NYSE American (A),6910499,36024252,6520163,49454914,261650135.517300,434929428.512100,334258634.753000,1030838198.782400,100294,121329,84801,306424
2020-12-28,NASDAQ BX (B),21536192,14418127,23534371,59488690,961445195.338000,848580778.501300,1495555806.920400,3305581780.759700,268421,73439,280105,621965
2020-12-28,NYSE National (C),34230237,16845679,23543528,74619444,895252090.764100,661975262.207600,705688997.515900,2262916350.487600,332365,80200,228099,640664
2020-12-28,FINRA / Nasdaq TRF Chicago (DB),9813043,4694700,18199298,32707041,510744947.762500,104884168.945600,850913323.497700,1466542440.205800,61426,14607,91490,167523
2020-12-28,FINRA / NYSE TRF (DN),314403678,175865150,743242979,1233511807,12577164203.558499,3539920138.511402,20452388696.007494,36569473038.077395,1489638,399977,2137446,4027061
2020-12-28,FINRA / Nasdaq TRF Carteret (DQ),1205868552,523855944,1894359783,3624084279,53468574012.033814,23240753053.645387,70009821985.893084,146719149051.572285,6052535,1733490,7077785,14863810
2020-12-28,MIAX Pearl (H),2555323,2356912,5366184,10278419,128637743.479800,71976785.679300,259124196.189700,459738725.348800,28107,10833,41261,80201
2020-12-28,EDGA Equities (J),52894473,28998428,48104956,129997857,2548170267.707700,1473278290.448000,2635410499.838601,6656859057.994301,678442,202701,612273,1493416
2020-12-28,EDGX Equities (K),274685061,105428153,420662500,800775714,10165631381.625202,4477761079.779201,14307280731.332996,28950673192.737399,2098882,474879,2345210,4918971
2020-12-28,LTSE (L),0,0,1894,1894,0.000000,0.000000,10538.000000,10538.000000,0,0,11,11
2020-12-28,NYSE Chicago (M),8022489,5963050,4688387,18673926,814778927.944000,664303161.815900,1765086855.641400,3244168945.401300,9317,2855,8819,20991
2020-12-28,NYSE (N),734405838,42873858,78151237,855430933,35495879082.843100,2056682045.707600,2975748691.835500,40528309820.386200,2987763,122020,465131,3574914
2020-12-28,NYSE Arca (P),199274778,240061282,427143371,866479431,8968631223.570004,13898373185.953500,16868760506.030290,39735764915.553794,1864893,911904,2839824,5616621
2020-12-28,NASDAQ (Q),333862672,148187636,1040490715,1522541023,15560021048.529896,8196156067.636203,53083776811.412203,76839953927.578302,3614740,777719,6773049,11165508
2020-12-28,Members Exchange (U),24799841,11534122,39000482,75334445,662043220.697900,325822644.517600,930106178.854100,1917972044.069600,269986,49725,334362,654073
2020-12-28,Investors Exchange (V),89629459,13527415,77868814,181025688,5534228734.636801,781001694.123600,6111276203.177399,12426506631.937800,944653,89324,812651,1846628
2020-12-28,NASDAQ PSX (X),21846512,13927781,21794140,57568433,607935277.268000,811713298.182100,1303222012.214600,2722870587.664700,144149,66616,181402,392167
2020-12-28,BYX Equities (Y),54056083,37839892,60703168,152599143,1992694731.165900,1674373278.821000,2009651921.374100,5676719931.361000,600171,152849,519100,1272120
2020-12-28,BZX Equities (Z),146670549,89623489,175772412,412066450,6226325264.456801,5419646505.326901,9397854275.340999,21043826045.124701,1554812,480434,1581631,3616877
2020-12-24,NYSE American (A),4274407,31011408,4597939,39883754,184514771.460000,210219282.090000,156140320.072300,550874373.622300,53498,83142,43795,180435
2020-12-24,NASDAQ BX (B),10084502,7527662,11603496,29215660,543630784.583500,448378297.971700,595054408.321300,1587063490.876500,128694,35430,130006,294130
2020-12-24,NYSE National (C),13839984,9113910,10163112,33117006,419129446.444600,326790694.507300,322167104.570000,1068087245.521900,146529,45372,104530,296431
2020-12-24,FINRA / Nasdaq TRF Chicago (DB),6235839,3441660,11198888,20876387,442005980.030100,51882158.713900,487856030.728100,981744169.472100,42090,8760,47673,98523
2020-12-24,FINRA / NYSE TRF (DN),182867152,147753786,546364254,876985192,9539641168.531500,2035591634.179700,10845252275.920002,22420485078.631202,880843,238287,1178203,2297333
2020-12-24,FINRA / Nasdaq TRF Carteret (DQ),624936116,363792749,1233056466,2221785331,34811442963.491100,12781181752.256598,35073626101.154511,82666250816.902209,3381762,900825,3640994,7923581
2020-12-24,MIAX Pearl (H),1266410,1480836,3968896,6716142,96487059.103000,36399822.704200,102029478.906000,234916360.713200,15726,6832,21124,43682
2020-12-24,EDGA Equities (J),24533235,15089679,24571726,64194640,1512821895.683300,715714276.716700,1135136787.109600,3363672959.509600,315365,93882,280791,690038
2020-12-24,EDGX Equities (K),151464362,89431657,270876716,511772735,7226344576.281397,2443228803.754200,6901682467.473796,16571255847.509393,1201808,298109,1213379,2713296
2020-12-24,LTSE (L),0,0,401,401,0.000000,0.000000,4015.200000,4015.200000,0,0,3,3
2020-12-24,NYSE Chicago (M),4914701,3841557,2926006,11682264,684788305.089000,922969944.355000,819909081.043000,2427667330.487000,5398,1675,5300,12373
2020-12-24,NYSE (N),381099662,22725817,39918981,443744460,19632000749.822298,1052649181.079000,1657004890.973700,22341654821.874998,1623767,67615,244366,1935748
2020-12-24,NYSE Arca (P),117860462,173286725,303379814,594527001,7090345402.734497,7142726284.246499,8308369128.428298,22541440815.409294,1122816,541401,1548382,3212599
2020-12-24,NASDAQ (Q),180244023,94909020,621562901,896715944,10367021337.913703,4478695464.926900,25442054231.398798,40287771034.239401,1915431,422646,3493491,5831568
2020-12-24,Members Exchange (U),14748327,8948675,21941126,45638128,441264336.208700,170423725.393600,417740673.704700,1029428735.307000,157233,32550,181804,371587
2020-12-24,Investors Exchange (V),51541030,8979008,41676560,102196598,4193795997.113600,469817357.575700,2775404684.562600,7439018039.251900,509639,51150,412348,973137
2020-12-24,NASDAQ PSX (X),10815738,8681599,11358236,30855573,367920216.154100,447935487.538400,624007043.034700,1439862746.727200,76567,37655,92319,206541
2020-12-24,BYX Equities (Y),23235731,18125261,25463237,66824229,966934911.584000,950687227.892300,954348563.887100,2871970703.363400,267347,83931,261418,612696
2020-12-24,BZX Equities (Z),79826145,58986940,121338512,260151597,3983710139.161400,3059921641.198200,4852716792.258599,11896348572.618199,826349,293327,836861,1956537
2020-12-23,NYSE American (A),8710901,37441620,7332128,53484649,323305445.400700,412742867.090500,326263254.720200,1062311567.211400,139476,120563,104857,364896
2020-12-23,NASDAQ BX (B),24085417,13392563,29864788,67342768,1044160074.745700,825040764.652100,1341348353.702100,3210549193.099900,317181,70349,308961,696491
2020-12-23,NYSE National (C),39470503,22403424,29041670,90915597,1010602663.242500,709286247.444200,734801840.731500,2454690751.418200,391790,94869,276598,763257
2020-12-23,FINRA / Nasdaq TRF Chicago (DB),9502254,5200440,22934926,37637620,422300299.444100,93615080.804200,732717650.236100,1248633030.484400,49955,10673,81307,141935
2020-12-23,FINRA / NYSE TRF (DN),316304805,195244455,1196456823,1708006083,11135092416.141901,3448720374.679198,18825045246.852996,33408858037.674095,1331855,339462,2228843,3900160
2020-12-23,FINRA / Nasdaq TRF Carteret (DQ),1290003058,588451305,2693615418,4572069781,52899127487.165908,25212797199.597097,66085127599.793225,144197052286.556230,5739413,1366036,7147929,14253378
2020-12-23,MIAX Pearl (H),2385003,3123962,8843057,14352022,144232029.662900,79600428.777600,232264033.912200,456096492.352700,33402,12469,51331,97202
2020-12-23,EDGA Equities (J),54970281,28186622,56400288,139557191,2584946951.036400,1371919533.389600,2530737741.726600,6487604226.152600,717298,172782,631825,1521905
2020-12-23,EDGX Equities (K),260045621,117453081,536505087,914003789,9046770313.494204,4677199323.048300,11950269889.730802,25674239526.273306,1882018,415697,2329040,4626755
