Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2015-12-29,NYSE (N),589774278,0,0,589774278,19820810507.163230,0.000000,0.000000,19820810507.163230,2129792,0,0,2129792
2015-12-29,NYSE Arca (P),167867334,219279196,140371854,527518384,5959780264.715201,12244134222.698026,5515398268.738345,23719312756.151572,1291735,619417,970691,2881843
2015-12-29,NASDAQ (Q),299998289,101438316,312994615,714431220,11552260453.965263,5476147337.111788,13111313998.483160,30139721789.560211,2663581,405206,1970761,5039548
2015-12-29,NASDAQ PSX (X),17625601,11515187,14763756,43904544,554104608.248900,545419298.879501,537037400.181899,1636561307.310300,143916,50741,101807,296464
2015-12-29,BATS BYX (Y),109431096,58153282,56317277,223901655,3214028057.461696,2332817062.388194,1926863020.647407,7473708140.497297,991171,253583,490155,1734909
2015-12-29,BATS BZX (Z),139556051,78795321,82242132,300593504,4628670484.816919,4489246795.708287,3275022734.422607,12392940014.947813,1218570,343001,669471,2231042
2015-12-28,NYSE MKT (A),0,6779046,2894359,9673405,0.000000,39338976.024000,89821194.581600,129160170.605600,0,18149,15949,34098
2015-12-28,NASDAQ BX (B),49940330,23026944,27237107,100204381,1600044449.367696,963541184.250499,962094887.021800,3525680520.639995,470222,100651,248753,819626
2015-12-28,NSX (C),300,0,0,300,4848.000000,0.000000,0.000000,4848.000000,3,0,0,3
2015-12-28,NYSE (DN),95823093,41393771,47015482,184232346,3013159127.404820,1658062022.605001,1758881033.050714,6430102183.060535,380930,119362,186780,687072
2015-12-28,NASDAQ (DQ),818635589,457588160,460201692,1736425441,23458872216.827127,19902978182.701747,13345729310.542256,56707579710.071130,2949838,853771,1462386,5265995
2015-12-28,EDGA (J),58230972,34639682,31482224,124352878,1675138818.293203,1418485910.250800,922864315.471204,4016489044.015207,517876,160011,246537,924424
2015-12-28,EDGX (K),149831744,91285334,150479690,391596768,4377579104.140808,4000997205.308605,4406037155.070574,12784613464.519987,1003779,356291,783122,2143192
2015-12-28,CHX (M),10676319,6319351,3671555,20667225,416820244.332000,589550035.072500,492392902.345000,1498763181.749500,1689,3257,1051,5997
2015-12-28,NYSE (N),614836401,0,0,614836401,20777761771.401451,0.000000,0.000000,20777761771.401451,2130316,0,0,2130316
2015-12-28,NYSE Arca (P),163004244,222868986,131557733,517430963,5776459061.036317,10767647535.042006,4602726086.323813,21146832682.402136,1290531,636618,931497,2858646
2015-12-28,NASDAQ (Q),290856388,99139722,317073409,707069519,10976594947.280448,5248781262.315815,12037855887.170360,28263232096.766623,2637035,433573,1943704,5014312
2015-12-28,NASDAQ PSX (X),16665713,12400035,13434460,42500208,507340611.138401,607252370.599000,468171372.990600,1582764354.728001,141364,55894,96473,293731
2015-12-28,BATS BYX (Y),100213603,53411157,52791521,206416281,2842384415.151038,1992234757.041295,1634429655.305193,6469048827.497526,926080,240444,457471,1623995
2015-12-28,BATS BZX (Z),128567902,74257200,75518388,278343490,4088038887.919456,4030295700.844795,2696661672.427806,10814996261.192057,1148627,334039,624005,2106671
2015-12-24,NYSE MKT (A),0,4880473,1641080,6521553,0.000000,30682095.471500,46042462.849000,76724558.320500,0,12952,9404,22356
2015-12-24,NASDAQ BX (B),24065662,10585409,13231652,47882723,784582154.667401,492221574.395600,476243212.436700,1753046941.499701,231896,50304,122632,404832
2015-12-24,NYSE (DN),48482105,21779853,24377286,94639244,1517830075.450400,838547853.930101,820836330.331596,3177214259.712097,202244,59593,99333,361170
2015-12-24,NASDAQ (DQ),433629795,227461440,244695394,905786629,11400667348.885586,10392514359.925909,6700490598.193679,28493672307.005174,1500208,444908,765816,2710932
2015-12-24,EDGA (J),30037825,17603192,17060350,64701367,784600765.629900,694336805.706000,494509828.872701,1973447400.208601,259182,74236,130092,463510
2015-12-24,EDGX (K),93667480,45513461,75591497,214772438,2573680378.663212,2125104594.703700,2252209643.170708,6950994616.537620,596087,180675,426306,1203068
2015-12-24,CHX (M),989414,4478886,2707202,8175502,35686179.072100,400103157.250000,100935413.160000,536724749.482100,216,1344,485,2045
2015-12-24,NYSE (N),393091793,0,0,393091793,12817362914.182908,0.000000,0.000000,12817362914.182908,1307279,0,0,1307279
2015-12-24,NYSE Arca (P),94365034,123646778,73085960,291097772,3146770979.981000,7018948793.461206,2596837851.979904,12762557625.422110,741791,334694,530206,1606691
2015-12-24,NASDAQ (Q),161881474,51622274,181595225,395098973,5838111900.529380,2987113457.529401,6855830722.470051,15681056080.528832,1457537,221202,1078999,2757738
2015-12-24,NASDAQ PSX (X),8835626,5462709,8170523,22468858,253350508.247900,265414932.332200,201915542.509500,720680983.089600,71920,25005,48495,145420
